"customer_name","gender","age","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","address","postcode","state","country","property_valuation"
"Dorian Stollen","M",43,78,"Statistician I","Financial Services","Mass Customer","Yes",18,"72922 Cambridge Terrace","2026","NSW","Australia",11
"Hunfredo Hayball","M",29,7,"Clinical Specialist","IT","Affluent Customer","No",3,"60461 Esch Avenue","2227","NSW","Australia",8
"Giorgi O'Shirine","M",42,68,"Payment Adjustment Coordinator","Retail","Mass Customer","Yes",15,"6 Novick Alley","3934","VIC","Australia",8
"Gretna Thredder","F",57,62,"Nurse","Manufacturing","Mass Customer","No",18,"1607 Westridge Drive","2203","NSW","Australia",11
"Tobiah Heinsius","M",23,66,"Chief Design Engineer","Health","High Net Worth","No",9,"3630 Dawn Crossing","2446","NSW","Australia",8
"Hersh Stubbert","M",23,0,"Technical Writer","Manufacturing","Mass Customer","Yes",15,"68 Fairfield Street","4115","QLD","Australia",8
"Wyn Saynor","M",59,54,"Cost Accountant","Financial Services","High Net Worth","No",8,"5 Briar Crest Road","2099","NSW","Australia",9
"Maribeth Stivani","F",69,46,"Associate Professor","Financial Services","Mass Customer","No",7,"945 Bobwhite Court","2430","NSW","Australia",8
"Abigale Sives","F",60,48,"VP Marketing","Health","Affluent Customer","Yes",14,"2 Glendale Center","4207","QLD","Australia",4
"Gothart Artus","M",45,52,"Health Coach IV","Health","Mass Customer","Yes",14,"21824 Northridge Alley","2117","NSW","Australia",10
"Danny Bodle","M",80,50,"Statistician I","Manufacturing","Mass Customer","Yes",18,"68 Anthes Park","2007","NSW","Australia",9
"Vittorio Boxen","M",58,94,"Mechanical Systems Engineer","Health","Mass Customer","No",14,"3 Anthes Court","2148","NSW","Australia",9
"Deborah Petrovsky","F",80,53,"Teacher","Property","Mass Customer","No",16,"036 Redwing Street","2011","NSW","Australia",7
"Agace Hedge","F",26,25,"Media Manager II","Retail","Mass Customer","Yes",13,"92 Petterle Place","3429","VIC","Australia",8
"Rolland Esmead","M",83,41,"VP Marketing","Health","Affluent Customer","No",8,"72008 7th Avenue","2200","NSW","Australia",8
"Latrena Walklate","F",80,97,"Mechanical Systems Engineer","Telecommunications","High Net Worth","Yes",13,"87 Sheridan Junction","2281","NSW","Australia",8
"Mariquilla Springthorpe","F",84,30,"Director of Sales","Financial Services","Mass Customer","Yes",8,"811 Melrose Park","2224","NSW","Australia",10
"Leticia Danovich","F",82,84,"Design Engineer","Entertainment","Mass Customer","Yes",15,"2 Logan Avenue","4307","QLD","Australia",1
"Harman Lynds","M",62,4,"Professor","Health","Mass Customer","Yes",5,"538 Gina Way","4105","QLD","Australia",8
"Farra Matyushkin","F",49,18,"VP Quality Control","Manufacturing","High Net Worth","Yes",9,"52761 Portage Crossing","3170","VIC","Australia",9
"Robenia Monks","F",64,94,"Nurse Practicioner","Manufacturing","Mass Customer","No",5,"8 Fieldstone Street","4065","QLD","Australia",9
"Roman Eastwood","M",54,57,"Associate Professor","Manufacturing","Affluent Customer","Yes",16,"8957 Anhalt Alley","3004","VIC","Australia",4
"Solomon Bruck","M",66,29,"Junior Executive","Health","Mass Customer","No",12,"5 High Crossing Junction","4556","QLD","Australia",8
"Krystyna Airey","F",73,2,"Safety Technician II","Manufacturing","Mass Customer","Yes",19,"75760 Toban Junction","4006","QLD","Australia",5
"Katharine Redbourn","F",56,8,"Recruiter","Manufacturing","Affluent Customer","Yes",4,"178 Waxwing Trail","3134","VIC","Australia",10
"Cammy Stoneham","F",60,74,"Business Systems Development Analyst","Financial Services","High Net Worth","No",14,"8648 Green Alley","4680","QLD","Australia",3
"Ellsworth Andrieux","M",52,49,"Senior Cost Accountant","Financial Services","Affluent Customer","Yes",10,"08912 Carberry Place","4036","QLD","Australia",7
"Federico Leuty","M",45,59,"Product Engineer","Property","High Net Worth","Yes",11,"720 Menomonie Crossing","2380","NSW","Australia",4
"Ferdy Hornung","M",49,57,"Analog Circuit Design manager","Entertainment","High Net Worth","No",18,"0686 Hallows Trail","4506","QLD","Australia",3
"Sunny Christescu","F",48,90,"Cost Accountant","Financial Services","Mass Customer","No",11,"6668 Blue Bill Park Plaza","2209","NSW","Australia",10
"Shadow Yakutin","M",56,85,"Software Test Engineer IV","Health","Affluent Customer","Yes",6,"06 Dwight Park","4119","QLD","Australia",2
"Sharai Priddie","F",62,13,"Sales Representative","Retail","Mass Customer","No",9,"5202 Crowley Place","2145","NSW","Australia",9
"Celeste Fretson","F",43,91,"Product Engineer","IT","Mass Customer","No",9,"14709 Portage Avenue","2166","NSW","Australia",9
"Lea Ilyinski","F",26,75,"Structural Analysis Engineer","Financial Services","High Net Worth","No",12,"895 Glendale Park","2026","NSW","Australia",12
"Dyann Olechnowicz","F",84,17,"Nuclear Power Engineer","Manufacturing","Mass Customer","No",16,"0474 Bowman Hill","3031","VIC","Australia",10
"Delly Sunman","F",64,49,"Account Coordinator","Retail","Mass Customer","No",15,"652 Fuller Terrace","3206","VIC","Australia",12
"Malvin Ryhorovich","M",61,37,"Quality Control Specialist","Financial Services","Mass Customer","No",5,"5356 Sugar Plaza","4818","QLD","Australia",3
"Tanya Hamberston","F",23,45,"Product Engineer","Manufacturing","Mass Customer","Yes",9,"7 Schiller Point","4113","QLD","Australia",6
"Kaela Romaines","F",52,41,"Geological Engineer","Manufacturing","High Net Worth","No",19,"9193 Prairieview Drive","2155","NSW","Australia",10
"Evonne Bembridge","F",54,9,"Recruiting Manager","Retail","Mass Customer","Yes",14,"13272 Basil Avenue","3103","VIC","Australia",9
"Shannen Lewin","F",32,21,"Analog Circuit Design manager","Argiculture","High Net Worth","No",6,"29 Aberg Crossing","4210","QLD","Australia",6
"Bogey Attew","M",31,88,"Software Engineer II","IT","Mass Customer","Yes",10,"4 Monterey Road","4165","QLD","Australia",9
"Zondra Ringham","F",75,36,"Cost Accountant","Financial Services","Mass Customer","Yes",7,"416 Lighthouse Bay Lane","4510","QLD","Australia",5
"Barnebas Apfel","M",27,57,"Account Executive","Manufacturing","Affluent Customer","Yes",2,"05475 Elgar Place","4000","QLD","Australia",6
"Alleen Eaken","F",85,56,"Financial Advisor","Entertainment","Mass Customer","No",10,"343 Lakewood Center","2089","NSW","Australia",12
"Gerri Schimann","F",54,81,"Desktop Support Technician","Property","Mass Customer","Yes",18,"47 Kim Terrace","2566","NSW","Australia",8
"Antonietta Egle","F",50,82,"Actuary","Financial Services","Mass Customer","No",7,"590 Hagan Parkway","3805","VIC","Australia",7
"Raff Waycott","M",72,70,"Engineer IV","Manufacturing","Affluent Customer","Yes",14,"94694 Eagle Crest Terrace","3977","VIC","Australia",7
"Lark Gonet","F",51,89,"Database Administrator II","Health","High Net Worth","No",8,"261 Orin Center","2763","NSW","Australia",8
"Cletis Longley","M",27,84,"Chemical Engineer","Manufacturing","High Net Worth","Yes",1,"667 Waxwing Plaza","3199","VIC","Australia",7
"Bartram Di Lucia","M",62,70,"Legal Assistant","Argiculture","Mass Customer","Yes",5,"83509 Delaware Street","2480","NSW","Australia",3
"Theresa Cowper","F",47,99,"Accountant III","Manufacturing","Mass Customer","No",3,"88 Mifflin Pass","2529","NSW","Australia",10
"Philbert Raraty","M",67,48,"Executive Secretary","Manufacturing","Mass Customer","No",6,"10 Dexter Park","2177","NSW","Australia",9
"Dahlia Shovlar","F",57,90,"Environmental Specialist","Retail","Affluent Customer","Yes",7,"655 Glendale Trail","3976","VIC","Australia",3
"Timi Duny","F",70,70,"Office Assistant II","Telecommunications","High Net Worth","No",6,"39192 Glendale Alley","2092","NSW","Australia",12
"Dominick Asher","M",61,50,"Research Associate","Health","Affluent Customer","Yes",5,"7307 Lake View Crossing","3804","VIC","Australia",9
"Becka Hacon","F",58,81,"General Manager","Financial Services","Affluent Customer","No",17,"1 Namekagon Point","3791","VIC","Australia",9
"Cirillo Frossell","M",55,7,"Graphic Designer","Health","Mass Customer","No",6,"602 Meadow Vale Lane","2111","NSW","Australia",12
"Verla Dumingos","F",52,26,"Design Engineer","Telecommunications","Mass Customer","Yes",10,"6784 Spohn Alley","3021","VIC","Australia",8
"Dexter Shutle","M",64,81,"Quality Control Specialist","Manufacturing","Mass Customer","No",17,"07 Dayton Court","4005","QLD","Australia",7
"Konstanze Hovie","F",56,88,"Pharmacist","Health","Mass Customer","No",11,"351 Sunfield Lane","4370","QLD","Australia",7
"Bink Bentje","M",66,3,"Payment Adjustment Coordinator","Financial Services","High Net Worth","Yes",19,"8427 Moulton Place","2680","NSW","Australia",3
"Taber Szymon","M",76,70,"Senior Sales Associate","Argiculture","Affluent Customer","No",13,"984 Del Sol Junction","4659","QLD","Australia",8
"Debbi Dannatt","F",65,2,"Technical Writer","Telecommunications","Affluent Customer","No",6,"3 Pepper Wood Hill","4218","QLD","Australia",10
"Giana Staresmeare","F",47,96,"Account Representative IV","Retail","Affluent Customer","Yes",9,"8737 Scoville Center","2770","NSW","Australia",7
"Morton Petkens","M",33,50,"Account Coordinator","Manufacturing","High Net Worth","Yes",10,"385 Montana Place","3012","VIC","Australia",1
"Vittoria Whitney","F",42,95,"Research Assistant I","Retail","High Net Worth","No",12,"3 Surrey Court","2019","NSW","Australia",11
"Paquito Atwood","M",51,15,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",9,"2 Magdeline Street","3199","VIC","Australia",8
"Dimitri Tribbeck","M",65,89,"Chief Design Engineer","Argiculture","Affluent Customer","No",20,"93235 Hoard Trail","3165","VIC","Australia",6
"Shelli Bartholomaus","F",60,88,"Associate Professor","Health","Mass Customer","Yes",6,"356 Carberry Avenue","3082","VIC","Australia",7
"Kermit Lebond","M",43,36,"Financial Advisor","Financial Services","Mass Customer","No",4,"71 Ludington Center","4208","QLD","Australia",8
"Biddie Gorce","F",35,68,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",5,"2116 Continental Terrace","2795","NSW","Australia",7
"Rupert Marrow","M",53,73,"Programmer Analyst I","Property","High Net Worth","No",19,"2 7th Way","2760","NSW","Australia",8
"Geoff Sitford","M",58,97,"Account Executive","Financial Services","Mass Customer","Yes",4,"7 Elgar Road","2148","NSW","Australia",8
"Ange Chitham","F",32,91,"Assistant Manager","Argiculture","Mass Customer","No",10,"00003 Hoffman Pass","2560","NSW","Australia",8
"Tiphanie Blackader","F",76,59,"Physical Therapy Assistant","Retail","Mass Customer","No",17,"71 Stone Corner Avenue","2007","NSW","Australia",11
"Zollie Crinidge","M",35,39,"Systems Administrator I","Retail","Mass Customer","Yes",10,"0 Esker Avenue","4019","QLD","Australia",5
"Daisy Pollen","F",30,97,"Cost Accountant","Financial Services","Mass Customer","No",7,"61825 Debs Terrace","3167","VIC","Australia",9
"Emelen Bidnall","M",42,79,"Systems Administrator IV","Health","Affluent Customer","Yes",11,"11 Oak Terrace","2026","NSW","Australia",12
"Linette Boman","F",74,56,"Account Executive","IT","Affluent Customer","No",11,"7 Michigan Hill","2076","NSW","Australia",11
"Manya Abramovici","F",68,42,"Quality Engineer","Financial Services","High Net Worth","Yes",13,"8 Randy Park","4214","QLD","Australia",8
"Brynna Tivers","F",49,81,"Recruiting Manager","Financial Services","Mass Customer","No",6,"0 Mayfield Parkway","4272","QLD","Australia",7
"Art Carolan","M",69,1,"Marketing Manager","Health","Affluent Customer","Yes",11,"57903 Hanson Parkway","2570","NSW","Australia",9
"Alfi Sabbins","F",64,63,"Cost Accountant","Financial Services","High Net Worth","Yes",18,"763 Ridgeway Place","2344","NSW","Australia",3
"Loleta Aberdalgy","F",42,45,"Occupational Therapist","Health","Mass Customer","No",11,"99 Westend Court","2287","NSW","Australia",6
"Aldric Birney","M",52,21,"Assistant Manager","Manufacturing","Mass Customer","Yes",14,"5 Caliangt Center","2546","NSW","Australia",6
"Natividad Balducci","F",32,39,"Health Coach II","Property","High Net Worth","Yes",10,"4472 Washington Junction","3206","VIC","Australia",11
"Claudine Dymick","F",58,28,"Design Engineer","Health","Mass Customer","No",5,"31675 Corry Way","3977","VIC","Australia",5
"Seamus Cains","M",34,61,"Teacher","Manufacturing","High Net Worth","No",7,"4882 Dakota Center","2305","NSW","Australia",8
"Guss Karim","M",55,95,"Senior Sales Associate","Manufacturing","Mass Customer","No",7,"4 Warner Circle","2227","NSW","Australia",11
"Julietta Setchfield","F",31,73,"Operator","Financial Services","High Net Worth","Yes",3,"4 Manufacturers Crossing","4170","QLD","Australia",8
"Roch Symson","F",45,96,"Office Assistant I","Manufacturing","High Net Worth","No",18,"016 Westport Park","3073","VIC","Australia",9
"Audry Fann","F",66,3,"Pharmacist","Health","Mass Customer","Yes",15,"19 Debs Parkway","3029","VIC","Australia",6
"Cecelia Cisar","F",38,20,"Director of Sales","Property","Mass Customer","Yes",15,"665 Sachs Way","4212","QLD","Australia",7
"Clari Voas","F",68,74,"Human Resources Assistant II","Health","Affluent Customer","Yes",14,"4110 Mifflin Center","2127","NSW","Australia",8
"Zach Hedman","M",42,87,"Analyst Programmer","Financial Services","Affluent Customer","Yes",4,"62 Spaight Center","2566","NSW","Australia",9
"Parnell Lamprey","M",46,23,"Engineer III","Financial Services","High Net Worth","No",12,"7353 Mallard Junction","2165","NSW","Australia",6
"Honey Gosdin","F",42,0,"Software Engineer I","Property","Mass Customer","No",17,"066 Warner Trail","2582","NSW","Australia",9
"Sonny McCart","M",31,35,"Account Representative I","Manufacturing","High Net Worth","No",9,"52752 Barby Hill","3020","VIC","Australia",9
"Deirdre Burgoine","F",68,14,"Programmer III","Health","High Net Worth","No",7,"0 Stoughton Park","3000","VIC","Australia",1
"Haleigh","F",71,17,"Senior Sales Associate","Financial Services","Mass Customer","Yes",18,"49 Jana Point","4503","QLD","Australia",4
"Aldridge Poskitt","M",41,84,"VP Sales","Retail","Mass Customer","No",12,"7 Fordem Point","4161","QLD","Australia",5
"Carry Costi","F",51,32,"Senior Developer","Property","Mass Customer","No",11,"5316 Farwell Hill","2800","NSW","Australia",4
"Alon","M",24,17,"Accountant IV","Manufacturing","Affluent Customer","No",9,"770 Crest Line Parkway","4218","QLD","Australia",3
"Ahmed Pickthorne","M",64,46,"Marketing Manager","Financial Services","High Net Worth","Yes",15,"50 American Street","2147","NSW","Australia",9
"Nil Shirer","M",26,64,"Librarian","Entertainment","Mass Customer","Yes",7,"4793 Mcbride Pass","3013","VIC","Australia",8
"Erhard O'Moylane","M",45,33,"Media Manager I","Retail","Affluent Customer","Yes",9,"01124 Dottie Lane","3630","VIC","Australia",2
"Vitia Axtens","F",78,62,"Financial Advisor","Financial Services","Mass Customer","Yes",15,"42681 Carey Alley","2011","NSW","Australia",10
"Haskell Moxted","M",80,81,"Civil Engineer","Manufacturing","Mass Customer","No",7,"2941 Talisman Alley","2145","NSW","Australia",9
"Ebony Conrad","F",24,8,"Environmental Tech","Financial Services","Mass Customer","Yes",16,"990 Hoffman Avenue","3029","VIC","Australia",7
"Lincoln Boler","M",47,53,"Chief Design Engineer","Retail","Affluent Customer","No",14,"5 Summer Ridge Court","3207","VIC","Australia",8
"Vladimir Westmerland","M",67,18,"Civil Engineer","Manufacturing","Mass Customer","Yes",18,"102 Charing Cross Terrace","2640","NSW","Australia",4
"Kylynn Drowsfield","F",48,80,"Editor","Retail","High Net Worth","Yes",7,"5 Trailsway Avenue","3059","VIC","Australia",9
"Nicole Ruckhard","F",54,93,"Human Resources Manager","Health","Affluent Customer","Yes",17,"23694 Leroy Place","4560","QLD","Australia",3
"Celestina Lethardy","F",55,38,"Software Consultant","IT","Mass Customer","Yes",11,"53 Memorial Street","3163","VIC","Australia",10
"Tannie Petrakov","M",72,84,"Data Coordiator","IT","Affluent Customer","No",10,"691 Valley Edge Alley","4078","QLD","Australia",6
"Bessy Saladin","F",84,22,"VP Marketing","Manufacturing","Mass Customer","Yes",16,"60073 Pankratz Pass","4075","QLD","Australia",10
"Diego Van den Broek","M",59,17,"Business Systems Development Analyst","Manufacturing","Affluent Customer","Yes",13,"8 Schlimgen Drive","4055","QLD","Australia",7
"Lucilia Minshall","F",71,71,"Web Developer I","IT","Mass Customer","Yes",7,"0237 Mallard Place","2750","NSW","Australia",8
"Cissiee Pollington","F",82,43,"Associate Professor","Property","Mass Customer","Yes",7,"69710 Northfield Center","2256","NSW","Australia",9
"Eddy Sturch","M",62,22,"Software Consultant","Financial Services","High Net Worth","Yes",17,"1 Kinsman Crossing","4158","QLD","Australia",6
"Caron Kezar","F",70,11,"Social Worker","Health","Mass Customer","No",5,"40553 Rigney Avenue","2835","NSW","Australia",1
"Sandor Stirland","M",42,67,"Web Developer IV","Manufacturing","High Net Worth","No",12,"48578 Farmco Park","3235","VIC","Australia",10
"Gallagher Bromell","M",67,18,"Assistant Manager","Health","Mass Customer","No",17,"91634 Badeau Crossing","4556","QLD","Australia",8
"Murial Bulloch","F",59,59,"Sales Associate","Financial Services","Mass Customer","No",13,"391 Old Shore Lane","2011","NSW","Australia",6
"Delinda Ech","F",79,74,"Environmental Specialist","Argiculture","Mass Customer","Yes",17,"28 Golf View Terrace","3101","VIC","Australia",10
"Hussein Tapenden","M",70,19,"Pharmacist","Health","Affluent Customer","Yes",12,"0197 Sachs Avenue","2747","NSW","Australia",8
"Giulietta Garbott","F",21,59,"Technical Writer","Manufacturing","Affluent Customer","Yes",14,"48297 Stuart Circle","3810","VIC","Australia",5
"Kaylyn Jakaway","F",43,45,"Registered Nurse","Health","Affluent Customer","No",10,"67 Heath Circle","2290","NSW","Australia",8
"Brynn Goodyear","F",79,30,"Human Resources Manager","Health","Mass Customer","Yes",11,"3 Sheridan Lane","3075","VIC","Australia",7
"Otis","M",52,59,"Electrical Engineer","Manufacturing","Affluent Customer","No",12,"04 Oakridge Plaza","2075","NSW","Australia",11
"Pace Clemonts","M",33,99,"Media Manager IV","Retail","High Net Worth","No",10,"335 Cambridge Hill","3122","VIC","Australia",7
"Muffin Grigolon","M",44,7,"Senior Editor","Telecommunications","Mass Customer","No",12,"4597 Marcy Point","2232","NSW","Australia",10
"Allsun Biner","F",26,67,"Nurse Practicioner","Financial Services","Mass Customer","Yes",10,"9 Walton Way","2641","NSW","Australia",2
"Kenneth Elleyne","M",66,13,"Technical Writer","Financial Services","Mass Customer","No",13,"27429 Dottie Plaza","3145","VIC","Australia",11
"Clotilda Southers","F",24,62,"Computer Systems Analyst II","Financial Services","Mass Customer","Yes",15,"42 Donald Hill","2323","NSW","Australia",4
"Augustus Bourley","M",42,60,"Staff Accountant I","Health","Affluent Customer","No",18,"3 Hoepker Parkway","4152","QLD","Australia",10
"Daisi Tinwell","F",52,84,"Business Systems Development Analyst","Financial Services","Mass Customer","No",11,"19561 Express Street","2777","NSW","Australia",8
"Gerik Woodroof","M",64,18,"Paralegal","Financial Services","High Net Worth","Yes",9,"41 Kropf Road","3175","VIC","Australia",7
"Claresta MacConnulty","F",66,6,"Recruiting Manager","Manufacturing","Mass Customer","Yes",20,"0516 Fremont Point","2026","NSW","Australia",9
"Arty Fontelles","M",29,50,"Help Desk Technician","IT","High Net Worth","No",4,"7872 South Junction","3197","VIC","Australia",4
"Whit Emloch","M",60,30,"Food Chemist","Health","Mass Customer","Yes",6,"105 Carpenter Court","2220","NSW","Australia",9
"Rowan Summerly","M",49,4,"Librarian","Entertainment","Mass Customer","No",9,"58231 Tomscot Plaza","2209","NSW","Australia",10
"Ian Rabat","M",48,54,"Web Designer I","Financial Services","Affluent Customer","No",11,"3 Loeprich Point","3204","VIC","Australia",11
"Reginald Jermy","M",63,7,"Director of Sales","Manufacturing","High Net Worth","Yes",20,"540 Katie Street","4128","QLD","Australia",8
"Harriet Brattan","F",37,81,"Human Resources Assistant I","Financial Services","High Net Worth","No",2,"66 Ruskin Parkway","3579","VIC","Australia",1
"Sada Branton","F",49,34,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",14,"9736 Mitchell Pass","3199","VIC","Australia",6
"Jenelle Mc-Kerley","F",81,40,"Data Coordiator","Financial Services","Mass Customer","Yes",16,"9 Springview Terrace","4068","QLD","Australia",5
"Gabrila Toopin","F",60,7,"Junior Executive","Manufacturing","Mass Customer","No",12,"1914 Oakridge Place","2456","NSW","Australia",6
"Almira Mangion","F",27,4,"VP Product Management","Financial Services","Affluent Customer","Yes",2,"179 Anzinger Center","2230","NSW","Australia",12
"Arty Strudwick","M",59,85,"Data Coordiator","Health","Mass Customer","Yes",8,"62 Melrose Court","2211","NSW","Australia",10
"Alexa Dillet","F",79,65,"Product Engineer","Entertainment","Affluent Customer","No",17,"84650 Novick Point","2261","NSW","Australia",7
"Palmer Heaven","M",28,82,"Staff Scientist","Financial Services","Affluent Customer","Yes",9,"5 Hoard Parkway","3754","VIC","Australia",6
"Porter Buckenhill","M",69,46,"Help Desk Operator","Manufacturing","High Net Worth","Yes",9,"376 Talmadge Street","4124","QLD","Australia",7
"Kizzee Kemston","F",62,11,"Clinical Specialist","Health","Mass Customer","No",13,"5979 Green Ridge Way","2767","NSW","Australia",8
"Isadora Ducker","F",50,15,"Account Executive","Property","Affluent Customer","Yes",8,"2972 Holy Cross Crossing","3153","VIC","Australia",5
"Giffie Offill","M",30,51,"Structural Engineer","Telecommunications","Affluent Customer","No",5,"89 Riverside Court","4740","QLD","Australia",3
"Fara Sarath","F",75,75,"Quality Control Specialist","Financial Services","Mass Customer","No",22,"540 Forest Run Plaza","2168","NSW","Australia",7
"Tamar Windmill","F",84,92,"Senior Editor","Manufacturing","Affluent Customer","No",10,"4669 Troy Place","2207","NSW","Australia",10
"Kipp Stockport","M",41,36,"Data Coordiator","Retail","Mass Customer","Yes",6,"02 Roth Drive","2022","NSW","Australia",11
"Packston Wackett","M",73,10,"Quality Engineer","Financial Services","Mass Customer","No",19,"7 Northridge Court","3192","VIC","Australia",9
"Hanson Eastes","M",33,74,"Executive Secretary","Manufacturing","Mass Customer","Yes",5,"5735 Starling Plaza","3056","VIC","Australia",9
"Demetria Bausor","F",62,73,"Assistant Media Planner","Entertainment","Mass Customer","Yes",9,"97 Transport Plaza","2097","NSW","Australia",12
"Lura Fawdrie","F",21,66,"VP Sales","Health","Mass Customer","Yes",4,"67183 Anniversary Parkway","4211","QLD","Australia",3
"Nora Anselm","F",62,84,"Assistant Media Planner","Entertainment","High Net Worth","Yes",15,"2 Emmet Parkway","4342","QLD","Australia",5
"Estevan Eastment","M",81,54,"Environmental Specialist","Health","Mass Customer","Yes",21,"61926 Tomscot Hill","2019","NSW","Australia",8
"Aloysius Glowacz","M",44,72,"Financial Advisor","Financial Services","Affluent Customer","No",18,"07 Susan Lane","2232","NSW","Australia",10
"Bastien Ibbeson","M",47,53,"Software Consultant","IT","Mass Customer","No",12,"43094 Kedzie Pass","2487","NSW","Australia",5
"Otha Langworthy","F",56,91,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",13,"678 Lyons Trail","3130","VIC","Australia",10
"Gannie Bargh","M",68,56,"Analyst Programmer","Health","Mass Customer","Yes",13,"1832 Burning Wood Place","3201","VIC","Australia",7
"Leese Huckleby","F",46,67,"Help Desk Operator","Manufacturing","High Net Worth","Yes",16,"73 Riverside Trail","3777","VIC","Australia",7
"Dodi Kiggel","F",43,5,"Cost Accountant","Financial Services","Mass Customer","Yes",13,"05 Everett Trail","2114","NSW","Australia",11
"Kippar Brimilcome","M",85,21,"Graphic Designer","Health","Mass Customer","No",19,"082 Welch Lane","2089","NSW","Australia",11
"Corinna Beretta","F",27,24,"Programmer III","Health","High Net Worth","No",12,"72 Mccormick Circle","3023","VIC","Australia",7
"Laurie Odlin","F",40,75,"Social Worker","Health","High Net Worth","No",10,"15669 Arizona Trail","3194","VIC","Australia",10
"Mair Erett","F",66,15,"Speech Pathologist","Health","Affluent Customer","No",18,"79 Armistice Parkway","2117","NSW","Australia",7
"Marcelia Copins","F",77,81,"Account Executive","Health","Mass Customer","Yes",21,"330 Melby Terrace","2259","NSW","Australia",8
"Tanner Terlinden","M",28,84,"Nuclear Power Engineer","Manufacturing","Mass Customer","No",14,"2637 Monument Trail","3106","VIC","Australia",11
"Hilliard Dullard","M",69,65,"Civil Engineer","Manufacturing","Mass Customer","No",17,"37919 Old Gate Park","2163","NSW","Australia",8
"Justinn Haruard","F",65,48,"Health Coach IV","Health","High Net Worth","No",11,"00 Judy Terrace","2035","NSW","Australia",12
"Wyn Meach","M",85,37,"Nurse","Manufacturing","Mass Customer","No",9,"79 Armistice Junction","2765","NSW","Australia",9
"Art Shardlow","M",60,57,"Data Coordiator","Argiculture","Mass Customer","Yes",15,"7 Clemons Circle","4350","QLD","Australia",2
"Dennis Varnham","M",70,57,"Assistant Media Planner","Entertainment","Affluent Customer","No",17,"6455 Mayfield Street","3350","VIC","Australia",3
"Freddi Litherborough","F",34,46,"Product Engineer","Financial Services","Mass Customer","No",7,"7873 Meadow Vale Plaza","2460","NSW","Australia",3
"Salomon Perkins","M",25,76,"Engineer IV","Financial Services","Affluent Customer","Yes",1,"45 Banding Hill","2009","NSW","Australia",10
"Sherill","F",32,33,"Information Systems Manager","Financial Services","Mass Customer","No",3,"53 Moulton Avenue","2880","NSW","Australia",1
"Queenie Learie","F",75,90,"Automation Specialist II","Property","Mass Customer","No",12,"7 Sauthoff Park","2073","NSW","Australia",11
"Etan Prinett","M",53,97,"Operator","Argiculture","Mass Customer","Yes",10,"9082 Waywood Avenue","2250","NSW","Australia",8
"Donaugh Benedict","M",32,3,"Systems Administrator III","Property","Mass Customer","No",12,"30049 Brown Road","2233","NSW","Australia",9
"Harwell Kleinstein","M",30,87,"Sales Representative","Retail","Affluent Customer","No",15,"7 Huxley Trail","3818","VIC","Australia",5
"Cheston Hritzko","M",78,70,"Software Engineer III","Manufacturing","Mass Customer","Yes",19,"3 Service Center","2127","NSW","Australia",9
"Suzy Trounson","F",76,13,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",20,"0627 Golf Center","4152","QLD","Australia",9
"Jobie Runacres","F",48,96,"Developer IV","Property","Mass Customer","Yes",18,"24960 Shopko Crossing","2528","NSW","Australia",7
"Guenna Filisov","F",54,52,"Chemical Engineer","Manufacturing","High Net Worth","No",13,"43 Stoughton Drive","2154","NSW","Australia",9
"Ottilie Wanless","F",83,51,"Environmental Specialist","Health","Affluent Customer","No",8,"2 David Pass","2720","NSW","Australia",4
"Kipper Circuit","M",49,23,"Research Assistant IV","Argiculture","Mass Customer","Yes",4,"3867 Barby Hill","2140","NSW","Australia",8
"Marilin Frome","F",48,58,"Account Executive","IT","Mass Customer","Yes",17,"52 Bobwhite Court","2219","NSW","Australia",9
"Arel Abramovitz","M",66,72,"Nurse Practicioner","Health","Mass Customer","No",16,"32249 Sycamore Way","4650","QLD","Australia",4
"Kit Easdon","M",45,61,"Director of Sales","Property","Affluent Customer","No",12,"3 Roth Junction","3156","VIC","Australia",8
"Frederich Glantz","M",26,37,"Nuclear Power Engineer","Manufacturing","High Net Worth","Yes",10,"9 Glacier Hill Circle","2762","NSW","Australia",8
"Rodolph Denniss","M",49,28,"Geologist III","Property","Affluent Customer","Yes",7,"91281 Transport Center","3356","VIC","Australia",2
"Craggie Dering","M",71,47,"Actuary","Financial Services","Mass Customer","No",7,"11 Paget Road","2125","NSW","Australia",10
"Giralda MacPeake","F",82,59,"Librarian","Entertainment","High Net Worth","Yes",14,"6 Killdeer Way","2705","NSW","Australia",1
"Rodney Trethewey","M",26,16,"Software Consultant","Financial Services","Affluent Customer","No",15,"737 Service Lane","3030","VIC","Australia",8
"Theresina","F",36,30,"General Manager","Argiculture","Mass Customer","Yes",14,"253 Katie Junction","2650","NSW","Australia",2
"Gleda Howerd","F",59,59,"Senior Developer","IT","Mass Customer","No",6,"481 Moulton Place","2440","NSW","Australia",2
"Melany Ladewig","F",51,76,"Research Associate","Financial Services","Mass Customer","Yes",10,"3864 Sheridan Alley","4130","QLD","Australia",7
