"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Orv Milland","M",37,"1508",80,1986-08-28,"Clinical Specialist","Health","Affluent Customer","Yes",11
"Dagmar Panyer","F",37,"1755",38,1986-08-23,"Tax Accountant","Property","Mass Customer","No",20
"Andria Keays","F",37,"3804",23,1986-08-21,NA,"Manufacturing","Mass Customer","Yes",4
"Kevan Laminman","M",37,"1587",17,1986-08-16,"Software Test Engineer III","Entertainment","Affluent Customer","Yes",12
"D'arcy Rowden","M",37,"630",90,1986-08-11,"Statistician III","Property","Affluent Customer","Yes",17
"Rosamund Shelton","F",37,"961",73,1986-08-10,"Assistant Manager","Financial Services","Mass Customer","No",6
"Austina Dugan","F",37,"2939",38,1986-08-10,"GIS Technical Architect",NA,"Mass Customer","Yes",17
"Malvin Marre","M",37,"3508",89,1986-08-09,"Pharmacist","Health","Mass Customer","No",5
"Art Barwell","M",37,"233",34,1986-08-08,"Environmental Tech","Property","Mass Customer","No",13
"Hartwell Schach","M",37,"3478",54,1986-08-08,"Quality Control Specialist","Health","Mass Customer","No",17
"Franz Lyptrit","M",37,"324",97,1986-08-05,"Computer Systems Analyst I","IT","Mass Customer","Yes",15
"Bel Cheeke","F",37,"459",88,1986-08-04,"Civil Engineer","Manufacturing","Mass Customer","Yes",13
"Thorin Klagges","M",37,"1592",21,1986-08-04,"Software Test Engineer III",NA,"Mass Customer","Yes",14
"Riki Aimable","F",37,"3743",85,1986-08-02,"Tax Accountant","Property","Mass Customer","No",22
"Angela Mowles","F",37,"1443",47,1986-07-25,NA,"Financial Services","Affluent Customer","Yes",22
"Arden Godard","F",37,"2345",50,1986-07-15,"Systems Administrator I","Retail","Affluent Customer","Yes",3
"Teodoor Lovelace","M",37,"2200",23,1986-07-13,"Community Outreach Specialist",NA,"Affluent Customer","Yes",16
"Bartel Fonteyne","M",37,"3677",3,1986-07-11,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",20
"Hadley Veracruysse","M",37,"3932",85,1986-07-10,"Senior Editor","Financial Services","Mass Customer","No",11
"Chrisy Sivess","M",37,"1425",20,1986-07-06,"General Manager","Retail","High Net Worth","Yes",11
"Mufi O'Kielt","F",37,"2639",70,1986-07-03,"Geologist IV","Entertainment","Mass Customer","Yes",10
"Juditha Leidl","F",37,"3294",90,1986-06-26,"Director of Sales","Manufacturing","Affluent Customer","No",6
"Alysa Galilee","F",37,"2507",77,1986-06-25,"Biostatistician III","Health","Affluent Customer","Yes",8
"Roberto Beinke","M",37,"3948",44,1986-06-22,"Occupational Therapist","Health","Mass Customer","No",13
"Gayler Shackle","M",37,"2328",63,1986-06-03,"Dental Hygienist","Health","Mass Customer","Yes",8
"Estelle Sam","F",37,"3268",93,1986-05-31,"General Manager","Manufacturing","Mass Customer","No",20
"Cyrille Figliovanni","M",37,"2900",29,1986-05-30,"Occupational Therapist","Health","Mass Customer","Yes",18
"Farley Rosen","M",37,"1474",54,1986-05-27,"Structural Analysis Engineer","Health","Mass Customer","Yes",21
"Gothart Coomer","M",37,"1733",10,1986-05-26,"Associate Professor","Financial Services","High Net Worth","No",20
"Lucia Pickervance","F",37,"228",59,1986-05-25,"Systems Administrator II","Manufacturing","High Net Worth","No",12
"Parry Rigolle","M",37,"1341",65,1986-05-18,"Computer Systems Analyst I","Financial Services","Affluent Customer","No",15
"Thorndike Glossop","M",37,"2806",60,1986-05-18,"Programmer Analyst II","Manufacturing","Mass Customer","Yes",3
"Granny Lukes","M",37,"1256",8,1986-05-11,"Food Chemist","Health","High Net Worth","No",9
"Aeriel Everest","F",37,"1045",88,1986-05-08,NA,"Financial Services","Mass Customer","Yes",19
"Andrea Rand","M",37,"3339",76,1986-05-08,"Programmer Analyst III","Health","Mass Customer","No",21
"Thia O'Day","F",37,"3497",73,1986-05-03,"Administrative Assistant IV","Manufacturing","Affluent Customer","Yes",18
"Lewes Foulcher","M",37,"910",50,1986-04-26,"Biostatistician I","Financial Services","Mass Customer","No",14
"Claudia Doog","F",37,"2882",62,1986-04-26,"Chief Design Engineer","Manufacturing","Mass Customer","No",9
"Gray McLorinan","F",37,"1994",71,1986-04-25,NA,"Manufacturing","High Net Worth","No",11
"Danya Burnyeat","M",37,"3496",99,1986-04-25,"Editor","Manufacturing","Mass Customer","Yes",19
"Ralf Presidey","M",37,"2933",61,1986-04-19,"Administrative Officer","Retail","Affluent Customer","Yes",6
"Daisi Philip","F",37,"3271",21,1986-04-18,"Chief Design Engineer","Property","High Net Worth","Yes",16
"Tonya Ritmeier","F",37,"1867",96,1986-04-16,"Senior Developer",NA,"Affluent Customer","No",3
"Tirrell Haysham","M",37,"583",97,1986-04-14,"Registered Nurse","Health","Mass Customer","No",4
"Seth Moorman","M",37,"284",38,1986-04-11,"Financial Analyst","Financial Services","High Net Worth","Yes",9
"Candida Hickenbottom","F",37,"2934",26,1986-04-08,"Media Manager III","Telecommunications","Mass Customer","Yes",9
"Alister De la Yglesia","M",37,"3425",32,1986-04-05,"GIS Technical Architect","Manufacturing","Mass Customer","Yes",12
"Sheila-kathryn Conklin","F",37,"3860",14,1986-04-05,"Mechanical Systems Engineer",NA,"Affluent Customer","Yes",13
"Gerry Scatcher","M",37,"3087",64,1986-04-02,"Social Worker","Health","Mass Customer","No",9
"Ximenes Patmore","M",37,"2889",55,1986-04-01,"Assistant Professor",NA,"Mass Customer","Yes",8
"Bartram Brownstein","M",37,"1556",30,1986-03-25,"Web Developer III","Manufacturing","Mass Customer","Yes",6
"Merlina Bream","F",37,"2359",80,1986-03-25,"Mechanical Systems Engineer","Property","High Net Worth","Yes",7
"Lolly Junkison","F",37,"1241",23,1986-03-22,"Pharmacist","Health","Affluent Customer","Yes",11
"Jaymie Wellesley","M",37,"2436",37,1986-03-21,"Help Desk Technician","IT","Mass Customer","No",4
"Willis Tilston","M",37,"3572",54,1986-03-21,"Sales Representative","Retail","Affluent Customer","Yes",2
"Alair Hopkins","M",37,"633",51,1986-03-12,"Nurse",NA,"High Net Worth","Yes",11
"Hyacinth Naldrett","F",37,"947",43,1986-03-10,"Pharmacist","Health","Mass Customer","No",10
"Willette Boodell","F",37,"1484",26,1986-03-05,"Administrative Assistant IV",NA,"Mass Customer","No",18
"Cristin Smoughton","F",37,"2056",65,1986-03-04,"Biostatistician IV","Property","High Net Worth","No",22
"Deana Rathbourne","F",37,"1140",32,1986-02-25,"Executive Secretary",NA,"Mass Customer","Yes",13
"Ailyn Carberry","F",37,"802",50,1986-02-20,"Financial Analyst","Financial Services","Mass Customer","No",3
"Hughie Laboune","M",37,"1313",59,1986-02-09,"Analyst Programmer","Property","Mass Customer","No",22
"Collen Kew","F",37,"3256",76,1986-02-06,"Professor","Financial Services","Affluent Customer","No",6
"Sibley Thirlwall","F",37,"3884",69,1986-02-06,"Web Designer II","Manufacturing","High Net Worth","Yes",18
"Dela Flannigan","F",37,"1052",31,1986-02-02,"Junior Executive","Financial Services","High Net Worth","No",3
"Alonso Ceyssen","M",37,"3019",98,1986-02-02,"Community Outreach Specialist","Manufacturing","Affluent Customer","Yes",14
"Calv Zelland","M",37,"1981",62,1986-01-30,"Sales Associate",NA,"Affluent Customer","No",12
"Illa","F",37,"460",0,1986-01-23,"Electrical Engineer","Manufacturing","Affluent Customer","Yes",16
"Peg Woodstock","F",37,"3293",98,1986-01-22,"Automation Specialist IV",NA,"High Net Worth","No",17
"Quintus Whear","M",37,"1193",58,1986-01-21,"Safety Technician I","Retail","High Net Worth","No",5
"Mandel Hellyar","M",37,"2814",42,1986-01-18,"Junior Executive","Property","High Net Worth","Yes",18
"Merwyn MacPhail","M",37,"2649",7,1986-01-16,"Dental Hygienist","Health","Affluent Customer","Yes",20
"Talbert Folliss","M",37,"2672",21,1986-01-16,"Clinical Specialist","Health","Affluent Customer","No",4
"Hortensia Rainger","F",37,"3164",53,1986-01-14,"Human Resources Assistant II","Manufacturing","Mass Customer","Yes",14
"Jeanna Naulls","F",37,"2459",67,1986-01-10,"Quality Engineer","Manufacturing","High Net Worth","No",18
"Marys Vazquez","F",37,"3287",30,1986-01-06,"Account Executive",NA,"Affluent Customer","Yes",4
"Gustavo Juschka","M",37,"3594",45,1986-01-04,"Marketing Assistant","Manufacturing","Mass Customer","No",18
"Aloin Harhoff","M",37,"3541",72,1986-01-03,NA,"Health","Mass Customer","No",11
"Filmer Furby","M",38,"1996",4,1985-12-29,"Structural Engineer","Manufacturing","Mass Customer","No",4
"Orran Bogges","M",38,"155",4,1985-12-28,"Quality Engineer","Manufacturing","Mass Customer","No",10
"Teddi De la Yglesias","F",38,"2694",48,1985-12-28,"Quality Engineer","Retail","Mass Customer","No",6
"Barnie Blenkensop","M",38,"3786",12,1985-12-28,"Systems Administrator IV",NA,"High Net Worth","No",22
"Kippie Crimpe","F",38,"358",54,1985-12-27,"Accounting Assistant IV",NA,"Mass Customer","No",18
"Madelena Risson","F",38,"1586",47,1985-12-27,"Physical Therapy Assistant","Manufacturing","High Net Worth","No",15
"Laurie Dwerryhouse","F",38,"37",46,1985-12-22,"Social Worker","Health","High Net Worth","No",16
"Tildi Kirkup","F",38,"1730",29,1985-12-21,"Senior Financial Analyst","Financial Services","Mass Customer","No",20
"Gerladina Carney","F",38,"1122",59,1985-12-19,NA,NA,"Mass Customer","No",11
"Jamie Staziker","F",38,"3833",88,1985-12-10,"Account Coordinator","Manufacturing","Mass Customer","No",16
"Virgilio Haverty","M",38,"3863",30,1985-12-06,"Quality Control Specialist","Retail","High Net Worth","No",20
"Tanner McCuthais","M",38,"3857",64,1985-11-26,"Structural Engineer","Financial Services","Mass Customer","Yes",10
"Michel O'Halligan","F",38,"2108",41,1985-11-24,"Software Test Engineer IV","Property","Mass Customer","Yes",18
"Kirby Cameron","M",38,"2210",16,1985-11-24,"Registered Nurse","Health","High Net Worth","No",5
"Tonia Leigh","F",38,"263",89,1985-11-19,"Dental Hygienist","Health","High Net Worth","No",7
"Nomi","F",38,"1967",88,1985-11-19,"Chemical Engineer","Manufacturing","Affluent Customer","Yes",17
"Papageno Beare","M",38,"2780",77,1985-11-16,"Actuary","Financial Services","Affluent Customer","Yes",16
"Nikolos McKyrrelly","M",38,"937",65,1985-11-15,"Human Resources Assistant IV","Manufacturing","Affluent Customer","No",15
"Reube Roscrigg","M",38,"1576",77,1985-11-10,"VP Marketing","Financial Services","Mass Customer","No",20
"Nichols","M",38,"3347",99,1985-11-08,"Computer Systems Analyst II","Entertainment","High Net Worth","Yes",18
"Elvyn Bullas","M",38,"2175",23,1985-11-01,"Web Developer III","Health","Mass Customer","No",13
"Sauveur Skeel","M",38,"2878",73,1985-10-31,"Analog Circuit Design manager","Property","Mass Customer","Yes",9
"Sunny Swindells","F",38,"114",10,1985-10-23,"Teacher","Entertainment","Affluent Customer","No",8
"Marga Cradduck","F",38,"1081",25,1985-10-21,"Social Worker","Health","Mass Customer","No",16
"Clarence Flook","M",38,"2853",65,1985-10-21,"Executive Secretary","Retail","High Net Worth","Yes",7
"Maye O'Moylane","F",38,"1766",53,1985-10-20,"Senior Quality Engineer",NA,"Affluent Customer","No",21
"Stormy Caveney","F",38,"2276",90,1985-10-06,"Desktop Support Technician",NA,"Mass Customer","Yes",12
"Armstrong Style","M",38,"1943",35,1985-10-03,"Senior Cost Accountant","Financial Services","Affluent Customer","Yes",13
"Paige Hodgin","M",38,"1175",8,1985-09-22,"Human Resources Manager",NA,"Mass Customer","No",8
"Agatha Vowden","F",38,"2797",6,1985-09-10,NA,"IT","Mass Customer","Yes",14
"Ebenezer Seedman","M",38,"288",71,1985-09-08,NA,"Manufacturing","High Net Worth","No",9
"Janina Keme","F",38,"1958",62,1985-09-01,"Professor",NA,"Mass Customer","No",22
"Correna Goldsberry","F",38,"3475",12,1985-08-31,"Director of Sales","Retail","Affluent Customer","No",3
"Iona Fidgeon","F",38,"517",73,1985-08-20,"Chief Design Engineer","Property","Mass Customer","Yes",3
"Melisande","F",38,"3397",70,1985-08-19,"Product Engineer","IT","Mass Customer","No",11
"Issiah Fardell","M",38,"382",68,1985-08-14,"Research Nurse","Health","Mass Customer","Yes",7
"Orbadiah Kennicott","M",38,"1632",43,1985-08-12,"Electrical Engineer","Manufacturing","High Net Worth","Yes",3
"Henry Phillps","M",38,"3342",51,1985-08-12,NA,"Entertainment","Mass Customer","No",7
"Forster Bumford","M",38,"3016",25,1985-08-11,"Analog Circuit Design manager","Financial Services","High Net Worth","No",11
"Rolph Sweetnam","M",38,"3991",61,1985-08-06,"Chief Design Engineer","Manufacturing","Mass Customer","Yes",13
"Gery Headrick","M",38,"1330",20,1985-08-02,"Technical Writer",NA,"Affluent Customer","No",19
"Coriss Darkott","F",38,"1132",99,1985-08-01,"Actuary","Financial Services","Affluent Customer","Yes",9
"Berti Arnould","M",38,"3875",2,1985-07-27,"Electrical Engineer","Manufacturing","Mass Customer","Yes",5
"Rudd Strangeways","M",38,"783",6,1985-07-25,"Information Systems Manager","Retail","Affluent Customer","No",14
"Eben Powley","M",38,"1230",61,1985-07-24,NA,"Financial Services","Mass Customer","Yes",10
"Aristotle Jess","M",38,"1475",41,1985-07-21,"Recruiting Manager","Retail","Affluent Customer","Yes",7
"Weidar Silkstone","M",38,"129",64,1985-07-20,"Financial Advisor","Financial Services","High Net Worth","Yes",19
"Cymbre Janos","F",38,"1011",42,1985-07-19,"Occupational Therapist","Health","High Net Worth","Yes",10
"Alair Cullingford","M",38,"2739",48,1985-07-18,"Mechanical Systems Engineer","Health","High Net Worth","Yes",15
"Aili Scruby","F",38,"2547",91,1985-07-08,"Social Worker","Health","Mass Customer","Yes",14
"Abrahan Luckman","M",38,"549",84,1985-06-15,"Human Resources Manager","Retail","Mass Customer","Yes",2
"Britt Muddimer","F",38,"3140",2,1985-06-11,"Legal Assistant","Manufacturing","High Net Worth","No",16
"Cassius Birchenough","M",38,"2397",33,1985-06-10,"Analyst Programmer","Retail","Affluent Customer","Yes",4
"Priscella Stathers","F",38,"1600",20,1985-05-21,"Senior Financial Analyst","Financial Services","High Net Worth","No",2
"Hannie Wodham","F",38,"287",41,1985-05-06,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",4
"Krystyna Scadden","F",38,"3402",73,1985-05-04,"Statistician II","Retail","Mass Customer","No",10
"David Darrigrand","M",38,"2319",63,1985-05-03,"Librarian","Entertainment","High Net Worth","No",18
"Sig Sellan","M",38,"2569",62,1985-05-03,"VP Quality Control","Retail","Mass Customer","No",16
"Nathan Antognazzi","M",38,"1830",98,1985-04-30,"Software Consultant","Manufacturing","High Net Worth","No",12
"Onofredo Franc","M",38,"138",5,1985-04-28,"Recruiter","Financial Services","Affluent Customer","Yes",13
"Merralee Forman","F",38,"3640",64,1985-04-28,"Staff Scientist",NA,"Mass Customer","No",10
"Frankie Seydlitz","M",38,"1738",39,1985-04-24,"Engineer II","Argiculture","High Net Worth","Yes",14
"Esma McOwen","F",38,"2673",27,1985-04-20,"Software Consultant",NA,"Mass Customer","Yes",14
"Bradly Deboick","M",38,"2932",4,1985-04-18,"Account Representative I","IT","Mass Customer","No",17
"Bartholomew Gowdy","M",38,"2765",68,1985-04-12,NA,"IT","Mass Customer","Yes",7
"Bellanca Raymond","F",38,"3247",0,1985-04-09,"Structural Engineer","Manufacturing","Mass Customer","Yes",5
"Ricoriki Matlock","M",38,"146",34,1985-04-08,"Quality Control Specialist","Manufacturing","Mass Customer","No",8
"Nettie Bulfit","F",38,"1272",2,1985-04-04,NA,"Manufacturing","Affluent Customer","No",17
"Sheelah Caine","F",38,"3539",94,1985-03-21,NA,"IT","Mass Customer","Yes",16
"Arch Van der Kruis","M",38,"78",37,1985-03-12,"Business Systems Development Analyst","Argiculture","Affluent Customer","No",8
"Ellary Ramsey","M",38,"1381",79,1985-03-11,"Engineer IV","Manufacturing","Affluent Customer","Yes",15
"Jordanna Skyme","F",38,"2733",89,1985-03-07,"Analog Circuit Design manager","Manufacturing","Mass Customer","Yes",17
"Dorise Bellon","F",38,"2119",51,1985-03-01,"Senior Cost Accountant","Financial Services","Mass Customer","No",17
"Douglas Wrout","M",38,"2779",54,1985-02-24,NA,NA,"Affluent Customer","Yes",11
"Farra Bails","F",38,"3559",80,1985-02-19,"Assistant Media Planner","Entertainment","High Net Worth","Yes",17
"Katrinka Sturrock","F",38,"367",93,1985-02-17,"Programmer II","Manufacturing","Mass Customer","Yes",12
"Butch Geertje","M",38,"1158",85,1985-02-17,"Senior Quality Engineer",NA,"Mass Customer","Yes",19
"Brett Scrancher","F",38,"506",43,1985-02-14,"Health Coach II","Retail","Mass Customer","No",21
"Francklin Ubanks","M",38,"786",34,1985-02-14,NA,"Financial Services","Affluent Customer","No",16
"Myranda Clowser","F",38,"310",0,1985-02-13,"Account Coordinator","Financial Services","Mass Customer","Yes",18
"Avie Cleator","F",38,"3775",16,1985-02-13,NA,"Health","Affluent Customer","No",8
"Robbie Handaside","M",38,"773",77,1985-02-12,NA,"Financial Services","Affluent Customer","Yes",20
"Bale Ney","M",38,"2753",26,1985-02-12,"Nuclear Power Engineer","Manufacturing","Mass Customer","Yes",7
"Lizabeth Carswell","F",38,"3190",18,1985-02-05,NA,NA,"Affluent Customer","No",15
"Swen Merioth","M",38,"3203",25,1985-02-05,"GIS Technical Architect",NA,"Affluent Customer","Yes",7
"Davina Dougary","F",38,"2132",16,1985-02-02,"Human Resources Manager","Financial Services","High Net Worth","Yes",22
"Hoyt Glavias","M",38,"71",30,1985-01-27,"Research Associate","Argiculture","Affluent Customer","Yes",12
"Hilario Magrane","M",38,"2983",2,1985-01-26,"Human Resources Manager","Retail","Mass Customer","Yes",17
"Fairlie Alasdair","M",38,"2821",13,1985-01-23,"Human Resources Assistant III","Property","Affluent Customer","No",11
"Brenna Raft","F",38,"3693",58,1985-01-19,NA,"Manufacturing","Affluent Customer","Yes",21
"Herc McIlhone","M",38,"2309",40,1985-01-13,"Accounting Assistant I","Manufacturing","Affluent Customer","No",14
"Alphard Cradduck","M",39,"3175",82,1984-12-30,"Operator","Health","Mass Customer","No",16
"Drucill Laurand","F",39,"1909",32,1984-12-11,"Research Assistant II","Argiculture","Affluent Customer","Yes",13
"Bunnie Whines","F",39,"738",51,1984-12-08,NA,"Argiculture","Mass Customer","Yes",9
"Oren Barwack","M",39,"3623",56,1984-11-25,"Senior Quality Engineer","Manufacturing","Affluent Customer","Yes",15
"Riane Schultes","F",39,"2987",51,1984-11-21,"Media Manager II",NA,"High Net Worth","Yes",4
"Garvy Berthel","M",39,"329",25,1984-11-20,"Account Representative IV","Entertainment","High Net Worth","Yes",12
"Timothy Wenham","M",39,"445",91,1984-11-13,"Executive Secretary","Financial Services","Mass Customer","No",5
"Cary Garron","M",39,"90",76,1984-11-12,"Quality Control Specialist","Manufacturing","Mass Customer","No",11
"Mareah Woodnutt","F",39,"2166",78,1984-11-09,"Nurse","Property","Mass Customer","No",16
"Lenka","F",39,"3624",54,1984-10-16,"Cost Accountant","Financial Services","Mass Customer","Yes",7
"Fidelia Cess","F",39,"3870",31,1984-10-13,"Social Worker","Health","Mass Customer","No",5
"Sharona Cunah","F",39,"1311",89,1984-10-06,"VP Accounting","Financial Services","Mass Customer","Yes",13
"Mac Leguay","M",39,"1464",20,1984-10-03,"Office Assistant II",NA,"Affluent Customer","Yes",10
"Sonni Lindstedt","F",39,"1630",63,1984-09-16,"Professor","Manufacturing","Mass Customer","No",16
"Susie","F",39,"3053",67,1984-09-12,"Account Coordinator","Retail","High Net Worth","No",17
"Kennett Attack","M",39,"1843",96,1984-09-08,"Recruiting Manager",NA,"Mass Customer","Yes",4
"Austina Orrice","F",39,"915",17,1984-09-07,"Budget/Accounting Analyst IV","Entertainment","Mass Customer","No",7
"Hamlin Odams","M",39,"158",99,1984-09-03,"Internal Auditor",NA,"Affluent Customer","No",5
"Valeria Chazette","F",39,"765",50,1984-08-31,NA,"Retail","Affluent Customer","No",16
"Ruben Handlin","M",39,"307",55,1984-08-18,"Clinical Specialist","Health","Affluent Customer","Yes",12
"Currie Gimber","M",39,"1614",2,1984-08-12,NA,NA,"High Net Worth","No",8
"Eugenius Packe","M",39,"593",64,1984-08-07,"Structural Analysis Engineer",NA,"Mass Customer","No",4
"Aristotle Vanni","M",39,"671",49,1984-07-25,NA,"Argiculture","Mass Customer","No",5
"Susannah Dumphy","F",39,"3965",39,1984-07-24,"Speech Pathologist","Manufacturing","Mass Customer","Yes",13
"Elset Biasio","F",39,"1562",29,1984-07-11,"Staff Scientist",NA,"Affluent Customer","Yes",3
"Aeriell Greeding","F",39,"2305",91,1984-07-09,"Chief Design Engineer","Financial Services","Affluent Customer","Yes",13
"Michael Foulis","M",39,"1772",98,1984-07-07,"Financial Analyst","Financial Services","High Net Worth","Yes",14
"Hermina Franzel","F",39,"2045",15,1984-07-03,"VP Sales","Financial Services","High Net Worth","No",15
"Fletch Durrett","M",39,"3463",7,1984-06-15,"Compensation Analyst","Financial Services","Affluent Customer","No",2
"Paloma Nilles","F",39,"2465",31,1984-06-12,"Senior Editor",NA,"Mass Customer","Yes",2
"Pavia Gethen","F",39,"2936",23,1984-05-20,"Project Manager","Financial Services","Mass Customer","Yes",11
"Nyssa Banister","F",39,"2262",90,1984-04-21,"Pharmacist","Health","Mass Customer","Yes",2
"Antoni MacAllister","M",39,"3694",91,1984-04-19,NA,"Health","Mass Customer","Yes",10
"Lowe Hinckes","M",39,"1348",88,1984-04-10,"VP Sales",NA,"High Net Worth","No",13
"Aldon Roelofs","M",39,"165",61,1984-03-25,"Administrative Officer","Argiculture","Mass Customer","Yes",12
"Addia Abels","F",39,"869",7,1984-03-11,"Account Representative I","Financial Services","High Net Worth","Yes",10
"Sally Cominoli","F",39,"1188",14,1984-02-23,"Statistician IV",NA,"Affluent Customer","Yes",4
"Zara Maccaddie","F",39,"770",10,1984-02-05,"Software Consultant","IT","High Net Worth","Yes",13
"Max Bilborough","M",39,"238",54,1984-02-04,"Programmer III",NA,"Mass Customer","Yes",14
"Merle Pesticcio","M",39,"2094",15,1984-01-27,"Biostatistician IV",NA,"Mass Customer","No",16
"Dione Raithby","F",39,"1121",30,1984-01-21,"Registered Nurse","Health","Mass Customer","Yes",3
"Ive Chapelhow","M",39,"811",6,1984-01-13,"Nurse Practicioner",NA,"Mass Customer","No",8
"Ranee Henriksson","F",39,"1528",78,1984-01-01,NA,"Manufacturing","High Net Worth","No",3
"Bobby Farmiloe","M",40,"2363",92,1983-12-30,"Nurse","Entertainment","Mass Customer","Yes",16
"Lira Durn","F",40,"1208",23,1983-12-26,"Budget/Accounting Analyst IV","Financial Services","Mass Customer","No",15
"Ossie Meaton","M",40,"223",13,1983-11-26,"VP Sales",NA,"Affluent Customer","Yes",14
"Magda Shugg","F",40,"3871",80,1983-11-13,"Recruiting Manager",NA,"Mass Customer","No",4
"Nettie Iddy","F",40,"564",7,1983-11-07,"Operator","Retail","High Net Worth","No",7
"Anselma Ricardon","F",40,"666",82,1983-11-01,"Social Worker","Health","High Net Worth","Yes",15
"Fae","F",40,"1320",4,1983-10-29,NA,"Manufacturing","High Net Worth","Yes",7
"Hally Pollie","F",40,"3546",91,1983-09-29,"GIS Technical Architect","Manufacturing","Affluent Customer","Yes",9
"Roi Ogden","M",40,"1031",75,1983-09-15,"Junior Executive","Manufacturing","Mass Customer","No",6
"Gibby Fearnley","M",40,"893",97,1983-09-11,"Geologist I","IT","Mass Customer","No",16
"Theodore Chicchelli","M",40,"2032",98,1983-09-09,"Quality Control Specialist","Property","Mass Customer","Yes",9
"Shirline Yellowlee","F",40,"2720",0,1983-09-02,"Account Coordinator","Retail","High Net Worth","No",10
"Anetta Brosenius","F",40,"3622",84,1983-09-02,"Compensation Analyst","Financial Services","Mass Customer","No",2
"Bradly Crosse","M",40,"150",6,1983-08-23,"Cost Accountant","Financial Services","Affluent Customer","No",17
"Sawyere Onele","M",40,"3680",17,1983-08-11,"Accountant I","Retail","High Net Worth","No",3
"Natal Matiewe","M",40,"1054",27,1983-08-09,"Nuclear Power Engineer","Manufacturing","Mass Customer","Yes",13
"Venita Dymick","F",40,"259",70,1983-07-22,"Senior Developer","Health","High Net Worth","Yes",3
"Sisely Oppy","F",40,"737",75,1983-07-11,"Systems Administrator III",NA,"Mass Customer","No",16
"Chiarra Cops","F",40,"3933",65,1983-07-05,NA,NA,"High Net Worth","Yes",10
"Constancia Gebbe","F",40,"3814",10,1983-07-01,"VP Product Management","Financial Services","Mass Customer","Yes",11
"Davie Moscon","M",40,"3784",56,1983-06-04,NA,"Financial Services","High Net Worth","No",13
"Kristal Joysey","F",40,"247",62,1983-05-06,"Staff Accountant II","Financial Services","High Net Worth","Yes",13
"Debee Martynov","F",40,"335",20,1983-04-19,"Senior Editor",NA,"Affluent Customer","No",8
"Donavon Ainsby","M",40,"3633",32,1983-04-18,"Biostatistician III","Health","Mass Customer","No",5
"Cleve Jindrak","M",40,"2464",78,1983-04-06,"Speech Pathologist","Retail","Mass Customer","No",6
"Rayshell Kitteman","F",40,"14",85,1983-03-25,"Account Executive","Financial Services","Affluent Customer","No",6
"Iver Dobsons","M",40,"308",2,1983-03-09,"Database Administrator I","IT","High Net Worth","No",4
"Indira Belt","F",40,"43",38,1983-03-01,"Director of Sales","Retail","Mass Customer","No",5
"Cullen Langshaw","M",40,"1270",72,1983-02-27,"Paralegal","Financial Services","Affluent Customer","No",10
"Anna-diana Slyne","F",40,"2568",42,1983-02-16,"Staff Scientist","Manufacturing","Mass Customer","No",18
"Prinz Codman","M",40,"1655",38,1983-02-15,"Electrical Engineer","Manufacturing","Affluent Customer","Yes",13
"Leigha Ranger","F",40,"2199",89,1983-02-09,"Account Coordinator","Property","High Net Worth","Yes",13
"Nettie Goghin","F",40,"3667",3,1983-02-06,"Graphic Designer","Retail","Mass Customer","Yes",8
"Lorianne Ethersey","F",40,"2438",76,1983-01-29,"Speech Pathologist","Manufacturing","Mass Customer","Yes",4
"Dukey McCrie","M",40,"1588",24,1983-01-28,"Administrative Officer","IT","High Net Worth","Yes",7
"Anthea Ruskin","F",40,"252",39,1983-01-24,"Account Coordinator","Property","Mass Customer","Yes",13
"Loralyn","F",40,"2061",71,1983-01-24,"Technical Writer","Manufacturing","High Net Worth","No",4
"Parker Lukacs","M",40,"3021",4,1983-01-18,NA,NA,"Mass Customer","No",9
"Consolata Clacson","F",40,"474",86,1983-01-15,"Geologist IV","Entertainment","Affluent Customer","No",18
"Cord Braundt","M",40,"1100",59,1983-01-02,"Engineer I","Manufacturing","Mass Customer","No",15
"Carolee Butters","F",41,"643",48,1982-12-29,"Assistant Media Planner","Entertainment","Mass Customer","Yes",10
"Cybill Wakes","F",41,"1921",70,1982-12-03,"Accountant III",NA,"Mass Customer","No",17
"Theo Tolmie","F",41,"511",92,1982-12-02,"Dental Hygienist","Health","High Net Worth","No",10
"Pavla Braunle","F",41,"181",49,1982-11-21,"Senior Editor","Manufacturing","Mass Customer","No",9
"Jessamine Brazear","F",41,"2914",76,1982-11-06,"Health Coach IV","Health","Affluent Customer","Yes",11
"Clarence Silby","M",41,"878",31,1982-11-01,"Environmental Specialist","Manufacturing","Mass Customer","Yes",9
"Jerome Sheavills","M",41,"1885",18,1982-10-27,"Software Consultant","Health","High Net Worth","Yes",11
"Amity Widdall","F",41,"3376",74,1982-10-20,NA,"Manufacturing","Mass Customer","No",16
"Nollie Matteoli","M",41,"1642",97,1982-10-11,"Systems Administrator II","Manufacturing","Affluent Customer","Yes",3
"Nikita Kilby","M",41,"775",66,1982-09-21,"Accounting Assistant IV","Manufacturing","Affluent Customer","No",4
"Shellysheldon Wickey","M",41,"1139",52,1982-09-15,"Editor","Manufacturing","Mass Customer","Yes",16
"Milton Gorini","M",41,"3060",28,1982-09-14,"VP Accounting","Financial Services","Mass Customer","Yes",6
