"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure"
"Michaela Andrasch","F",30,"1543",25,"Database Administrator III","Health","High Net Worth","No",9
"Rose Milsom","F",30,"3232",7,"Payment Adjustment Coordinator","Financial Services","Mass Customer","Yes",9
"Tobe Godrich","M",30,"1991",35,"Research Nurse","Health","Mass Customer","Yes",8
"Marie-jeanne Mattson","F",30,"1711",81,"Marketing Assistant","Manufacturing","High Net Worth","Yes",7
"Vite Molyneux","M",30,"1790",90,"Budget/Accounting Analyst IV","Health","Affluent Customer","No",1
"Filip Willows","M",30,"2197",32,"Programmer Analyst I","Financial Services","Mass Customer","No",7
"Brooke Durman","F",30,"3450",85,"Safety Technician III","Retail","Mass Customer","No",6
"Cele Evason","F",30,"111",65,"Analyst Programmer","Property","Mass Customer","No",2
"Modesty Fletcher","F",30,"531",94,"Senior Cost Accountant","Financial Services","High Net Worth","No",1
"Trueman","M",30,"3364",77,"Engineer IV","Manufacturing","Mass Customer","Yes",3
"Ibrahim Wibrew","M",30,"1246",94,"Nuclear Power Engineer","Manufacturing","High Net Worth","No",6
"Harmonia Cornock","F",30,"721",84,"Account Representative III","Property","Affluent Customer","Yes",1
"Stefa Dunnan","F",30,"218",37,"Administrative Officer","Property","High Net Worth","Yes",8
"Rriocard Gavan","M",30,"2209",4,"Registered Nurse","Health","Affluent Customer","Yes",3
"Cristie","F",30,"3401",92,"Tax Accountant","Telecommunications","Mass Customer","Yes",4
"Jamill Cudd","M",30,"2008",77,"Analyst Programmer","Financial Services","Mass Customer","Yes",3
"Harper Ioannidis","M",30,"2533",11,"Speech Pathologist","Health","Affluent Customer","Yes",5
"Baily Imison","M",30,"755",31,"Senior Cost Accountant","Financial Services","Mass Customer","No",4
"Rodrigo Felce","M",30,"1835",48,"Financial Advisor","Financial Services","Affluent Customer","Yes",1
"Fanni Wakelin","F",30,"1165",58,"Administrative Assistant IV","Financial Services","High Net Worth","No",2
"Dolf Baudichon","M",30,"2374",6,"Design Engineer","Financial Services","Mass Customer","No",9
"Betsy Cosh","F",30,"3211",52,"Automation Specialist II","Health","High Net Worth","Yes",7
"Bar Frankcom","M",30,"3272",75,"Payment Adjustment Coordinator","Health","Affluent Customer","No",9
"Bertrand Sissons","M",30,"3791",17,"Quality Control Specialist","Health","Affluent Customer","No",6
"Noelani Andreuzzi","F",30,"654",2,"Administrative Officer","Manufacturing","Affluent Customer","No",5
"Aubrie Glaum","F",30,"2112",64,"Accounting Assistant I","Financial Services","Mass Customer","Yes",6
"Marten Posnette","M",30,"3707",10,"Senior Editor","Retail","Mass Customer","Yes",4
"Waylin Eassom","M",30,"1357",69,"Research Nurse","Health","High Net Worth","No",6
"Mead Wollard","M",30,"1489",17,"Teacher","Health","Mass Customer","No",4
"Gracie Merrifield","F",30,"535",67,"Junior Executive","Retail","Affluent Customer","No",3
"Sigmund Fishbourn","M",30,"3395",76,"Software Engineer I","Financial Services","Mass Customer","No",3
"Alair Combe","M",30,"2303",22,"Database Administrator IV","Retail","Mass Customer","Yes",4
"Edsel Arguile","M",30,"3236",37,"Human Resources Manager","Manufacturing","Mass Customer","Yes",5
"Thorsten Gregon","M",30,"3375",37,"Accounting Assistant I","Financial Services","High Net Worth","Yes",6
"Shirley Negal","F",30,"2123",36,"Software Engineer II","Manufacturing","Affluent Customer","No",2
"Cathlene","F",30,"3137",48,"Web Designer III","Financial Services","Mass Customer","No",9
"Wat Robelin","M",30,"2344",93,"Nurse","Financial Services","Mass Customer","Yes",7
"Foster Vannoort","M",30,"70",78,"Paralegal","Financial Services","Affluent Customer","No",8
"Estrella Carwithen","F",30,"1359",54,"Help Desk Technician","Retail","Mass Customer","No",6
"Hoyt","M",30,"657",66,"Safety Technician II","Manufacturing","Affluent Customer","No",10
"Floyd Meharry","M",30,"3702",74,"Biostatistician IV","Health","Mass Customer","No",10
"Lynsey Broady","F",30,"2674",59,"Food Chemist","Health","High Net Worth","No",5
"Nita McCarthy","F",30,"1601",45,"Desktop Support Technician","Manufacturing","Affluent Customer","No",1
"Cynthy Snoad","F",30,"3713",72,"Account Executive","Telecommunications","High Net Worth","Yes",8
"Elbert Bridgement","M",30,"1159",94,"Librarian","Entertainment","Mass Customer","No",1
"Rowe Losbie","F",30,"2368",98,"Chemical Engineer","Manufacturing","Mass Customer","No",10
"Cleveland Coxon","M",30,"3118",54,"Occupational Therapist","Health","High Net Worth","No",9
"Cindelyn Balas","F",30,"3214",2,"Software Engineer III","Financial Services","Mass Customer","Yes",9
"Kerry Wooldridge","M",30,"3769",40,"Desktop Support Technician","Health","High Net Worth","Yes",5
"Max Awcock","M",30,"2736",40,"Accounting Assistant IV","Telecommunications","Affluent Customer","Yes",9
"Wolfgang Tarrier","M",30,"777",2,"Paralegal","Financial Services","High Net Worth","No",4
"Cedric Layzell","M",31,"2928",92,"Office Assistant I","Financial Services","Mass Customer","No",5
"Lorri Iston","F",31,"2448",5,"Structural Analysis Engineer","Property","High Net Worth","No",10
"Wells Pressman","M",31,"239",62,"Registered Nurse","Health","Affluent Customer","No",3
"Cassi Noades","F",31,"2970",64,"Software Consultant","Financial Services","Mass Customer","No",5
"Dannie Sowray","M",31,"3959",76,"Engineer IV","Manufacturing","Mass Customer","No",3
"Fulton Blayney","M",31,"1478",40,"VP Quality Control","Financial Services","High Net Worth","No",9
"Ken Renfree","M",31,"601",56,"Senior Quality Engineer","Retail","High Net Worth","Yes",4
"Violetta Bucksey","F",31,"2789",66,"Senior Editor","Financial Services","Affluent Customer","Yes",7
"Rozamond Franceschino","F",31,"2762",34,"Mechanical Systems Engineer","Manufacturing","Mass Customer","No",9
"Albrecht Forty","M",31,"626",12,"Geological Engineer","Manufacturing","Mass Customer","No",2
"Lydon Dahlman","M",31,"182",99,"Sales Associate","Financial Services","Affluent Customer","Yes",7
"Janifer Pountain","F",31,"670",75,"Business Systems Development Analyst","Retail","Affluent Customer","No",8
"Hall Grouer","M",31,"1912",36,"Account Coordinator","Manufacturing","High Net Worth","No",7
"Matthew Jeaycock","M",31,"47",51,"Registered Nurse","Health","Affluent Customer","No",2
"Norman Cliff","M",31,"126",53,"Administrative Officer","Health","Mass Customer","Yes",3
"Huberto Bazylets","M",31,"1866",27,"Marketing Manager","Manufacturing","Mass Customer","No",2
"Hans Ison","M",31,"2525",25,"Cost Accountant","Financial Services","Mass Customer","No",8
"Edik Connichie","M",31,"592",73,"VP Sales","Manufacturing","Mass Customer","No",2
"D'arcy Slay","M",31,"249",65,"Quality Control Specialist","IT","High Net Worth","No",9
"Ebeneser Lowde","M",31,"3552",33,"Internal Auditor","Retail","Affluent Customer","Yes",9
"Wallie Baitman","M",31,"2840",63,"Recruiter","Manufacturing","Mass Customer","Yes",9
"Hadleigh Birley","M",31,"1146",88,"Assistant Professor","Financial Services","High Net Worth","No",8
"Ruthe Campe","F",31,"2453",22,"Safety Technician II","Telecommunications","High Net Worth","No",9
"Hubert Kliner","M",31,"3142",98,"Electrical Engineer","Manufacturing","Mass Customer","No",6
"Renado Wonfor","M",31,"3032",53,"Analog Circuit Design manager","Health","Affluent Customer","Yes",5
"Carter Kaesmakers","M",31,"806",66,"Sales Representative","Retail","Mass Customer","Yes",7
"Jerrold Bernetti","M",31,"1620",18,"Structural Analysis Engineer","Manufacturing","High Net Worth","Yes",2
"Cleo","F",31,"1455",2,"Software Engineer I","Property","Affluent Customer","No",8
"Ursulina Carter","F",31,"2275",77,"Human Resources Assistant II","Financial Services","High Net Worth","Yes",8
"Iorgo Krol","M",31,"2255",92,"Dental Hygienist","Health","Affluent Customer","Yes",5
"Dre Ferrillo","F",31,"2107",2,"Biostatistician IV","IT","Affluent Customer","Yes",4
"Raul Cabrer","M",31,"1873",49,"General Manager","Manufacturing","Affluent Customer","Yes",4
"Gertie Caser","F",31,"3961",11,"Recruiter","Health","High Net Worth","Yes",5
"Ivory MacKnocker","F",31,"2906",93,"GIS Technical Architect","Retail","Mass Customer","Yes",4
"Laverna Shiril","F",31,"2805",0,"Legal Assistant","Manufacturing","High Net Worth","No",4
"De witt Gleave","M",31,"2250",72,"Developer IV","Telecommunications","High Net Worth","No",7
"Dorie Willock","M",31,"1113",45,"Recruiter","Property","Mass Customer","No",6
"Kenneth Viall","M",31,"1980",97,"Food Chemist","Health","High Net Worth","Yes",7
"Lida Boynton","F",31,"490",44,"Environmental Tech","Argiculture","Mass Customer","No",6
"Sheilah Blackmore","F",31,"510",61,"Structural Engineer","Health","Mass Customer","No",2
"Shawn De Hooge","F",31,"3732",47,"Research Associate","Manufacturing","Mass Customer","No",2
"Rhodia D'Onise","F",31,"1024",17,"Social Worker","Health","High Net Worth","Yes",2
"Madelena Blincoe","F",31,"2218",94,"Senior Sales Associate","Health","Affluent Customer","No",4
"Hazlett Rosenschein","M",31,"2322",72,"Biostatistician III","Health","Mass Customer","Yes",2
"Dmitri Eleshenar","M",31,"1941",83,"Librarian","Entertainment","Mass Customer","No",2
"Zachery Monkhouse","M",31,"1638",55,"Speech Pathologist","Financial Services","Mass Customer","Yes",10
"Tessy Beefon","F",31,"3828",81,"Dental Hygienist","Health","Mass Customer","No",6
"Laurent Ainslee","M",31,"2607",90,"Registered Nurse","Health","Affluent Customer","Yes",7
"Murielle Klimkov","F",31,"3679",72,"Developer II","Manufacturing","High Net Worth","No",6
"Othella Keher","F",31,"258",24,"Administrative Officer","Manufacturing","High Net Worth","No",9
"Pierce Cheke","M",31,"1939",81,"Safety Technician I","Health","Mass Customer","Yes",8
"Susanetta","F",31,"1584",93,"Legal Assistant","Manufacturing","Mass Customer","No",9
"Wallie Christauffour","F",31,"3839",78,"Account Executive","Manufacturing","High Net Worth","Yes",2
"Shane Haseldine","F",31,"3856",74,"Accounting Assistant III","Property","Affluent Customer","No",7
"Shurlocke Pirie","M",31,"1365",97,"Research Associate","Health","Mass Customer","No",3
"Hussein Ticic","M",31,"3250",27,"Biostatistician IV","Argiculture","High Net Worth","Yes",4
"Angelo Clayal","M",31,"176",39,"Accountant I","Property","Mass Customer","No",10
"Kirsten Longman","F",31,"1128",47,"Financial Advisor","Financial Services","Mass Customer","Yes",8
"Lazar Crathern","M",31,"500",19,"Recruiting Manager","Retail","Affluent Customer","Yes",10
"Niel Abilowitz","M",31,"817",38,"Editor","Financial Services","Mass Customer","Yes",6
"Harwilll Crimes","M",31,"3093",31,"Mechanical Systems Engineer","Property","High Net Worth","Yes",6
"Lebbie Bruck","F",31,"602",0,"Office Assistant II","Manufacturing","High Net Worth","Yes",9
"Audry Scurrey","F",31,"1194",69,"Junior Executive","Telecommunications","Affluent Customer","No",3
"Taite Droghan","M",31,"242",17,"Nurse","Property","Affluent Customer","No",8
"Felicity Beirne","F",31,"2351",35,"Assistant Professor","Retail","Affluent Customer","Yes",10
"Charles Brounfield","M",31,"3736",64,"Senior Developer","Argiculture","Mass Customer","Yes",10
"Crosby Claeskens","M",31,"1563",39,"Account Representative IV","Property","Mass Customer","No",9
"Charlie Hastilow","M",31,"2029",10,"Nurse","Manufacturing","Mass Customer","No",7
"Rollie","M",31,"1202",90,"Sales Representative","Retail","Mass Customer","Yes",8
"Tobe Lindroos","F",31,"2077",67,"Cost Accountant","Financial Services","Mass Customer","Yes",7
"Maddy Larrat","F",31,"779",1,"Staff Accountant III","Health","High Net Worth","No",7
"Valdemar MacCoughen","M",31,"374",81,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",8
"Janka Yesinin","F",31,"871",40,"Chemical Engineer","Manufacturing","Mass Customer","Yes",5
"Crystie Deshorts","F",31,"3671",98,"Programmer Analyst III","Retail","Affluent Customer","No",7
"Coop Stancer","M",32,"2657",20,"Recruiter","Financial Services","Mass Customer","No",5
"Duffy Cotillard","M",32,"3359",82,"Developer III","Retail","Mass Customer","No",3
"Lenna Coales","F",32,"991",11,"Financial Analyst","Financial Services","Mass Customer","Yes",10
"Trix","F",32,"1301",17,"Structural Analysis Engineer","Health","Mass Customer","No",9
"Kippy Oldland","M",32,"4000",76,"Software Engineer IV","Manufacturing","Affluent Customer","No",11
"Mile Dionisii","M",32,"455",97,"Civil Engineer","Manufacturing","Mass Customer","Yes",5
"Jandy Rodgers","F",32,"3731",91,"Chief Design Engineer","Manufacturing","Mass Customer","No",8
"Morissa Wolfendell","F",32,"3150",66,"Sales Associate","Financial Services","Mass Customer","No",5
"Merna Eyers","F",32,"3076",9,"Professor","Health","Mass Customer","Yes",4
"Torey Beharrell","M",32,"3340",61,"Physical Therapy Assistant","Financial Services","Mass Customer","No",2
"Elli Loxdale","F",32,"1138",77,"Statistician I","Retail","Mass Customer","Yes",5
"Nadya Callaghan","F",32,"3346",61,"Software Consultant","Financial Services","High Net Worth","No",3
"Antonetta Dumbrall","F",32,"1412",20,"Tax Accountant","Argiculture","Mass Customer","Yes",4
"Kurtis Baistow","M",32,"408",79,"Senior Financial Analyst","Financial Services","Affluent Customer","No",11
"Jorrie Cerman","F",32,"3284",98,"Chief Design Engineer","Retail","Affluent Customer","No",2
"Gates Nelthorpe","F",32,"3739",59,"Environmental Tech","IT","High Net Worth","No",5
"Alic Trenear","M",32,"369",19,"Actuary","Financial Services","Mass Customer","Yes",9
"Jinny Cawood","F",32,"1883",6,"Social Worker","Health","Mass Customer","No",6
"Gerry Ackhurst","M",32,"3620",21,"Computer Systems Analyst II","Retail","Mass Customer","No",5
"Iseabal Fullbrook","F",32,"1023",16,"Cost Accountant","Financial Services","Affluent Customer","Yes",6
"Jedidiah Daulby","M",32,"2511",20,"Technical Writer","Financial Services","Mass Customer","Yes",4
"Terrel Kreuzer","M",32,"3391",93,"Database Administrator IV","Manufacturing","Mass Customer","No",7
"Joycelin","F",32,"916",18,"Recruiter","Manufacturing","Affluent Customer","No",8
"Mellicent Dollin","F",32,"974",92,"Administrative Assistant IV","Manufacturing","Mass Customer","Yes",4
"Mose Middler","M",32,"1696",48,"Librarian","Entertainment","High Net Worth","No",2
"Reidar Pullin","M",32,"2456",9,"Sales Associate","Property","Mass Customer","No",10
"Kelci Morrison","F",32,"847",66,"Chief Design Engineer","Retail","High Net Worth","No",9
"Blanch Leyshon","F",32,"1695",11,"Environmental Specialist","Manufacturing","High Net Worth","Yes",4
"Iggy Whorton","M",32,"3306",50,"Compensation Analyst","Financial Services","Mass Customer","No",7
"Oberon Scading","M",32,"1558",14,"Information Systems Manager","Financial Services","Affluent Customer","No",2
"Chance Maben","M",32,"1687",16,"Business Systems Development Analyst","Manufacturing","Affluent Customer","Yes",8
"Bernhard Senett","M",32,"518",60,"Database Administrator IV","Retail","Mass Customer","Yes",10
"Bernice Kings","F",32,"328",87,"Senior Developer","Manufacturing","Mass Customer","No",12
"Nerita Keppie","F",32,"1703",14,"Product Engineer","Telecommunications","Mass Customer","Yes",3
"Evie Bendtsen","F",32,"3061",51,"Office Assistant IV","Manufacturing","Affluent Customer","Yes",3
"Lazar Cherryman","M",32,"1110",73,"Information Systems Manager","Retail","High Net Worth","No",12
"Sisely Strelitzer","F",32,"1300",0,"Physical Therapy Assistant","Financial Services","Affluent Customer","Yes",9
"Binny Whight","F",32,"246",63,"Technical Writer","Manufacturing","High Net Worth","No",9
"Elly Ormshaw","F",32,"1127",30,"Physical Therapy Assistant","Financial Services","Mass Customer","No",8
"Felice McVane","M",32,"2578",49,"Tax Accountant","Retail","High Net Worth","No",3
"Aeriel Lejeune","F",32,"2611",36,"Tax Accountant","Financial Services","Affluent Customer","No",9
"Doll Burtwell","F",32,"271",51,"Financial Advisor","Financial Services","Mass Customer","No",4
"Eileen Eland","F",32,"3574",33,"Clinical Specialist","Health","Mass Customer","No",6
"Sari Noye","F",32,"283",34,"Assistant Manager","Retail","Mass Customer","No",2
"Jarad Bauser","M",32,"466",84,"Quality Control Specialist","Manufacturing","Affluent Customer","Yes",2
"Inna Atack","F",32,"3373",19,"Research Associate","Health","Mass Customer","No",5
"Veronique Wash","F",32,"3067",8,"Chief Design Engineer","Manufacturing","Mass Customer","Yes",9
"Devlen Perrett","M",32,"3653",7,"Environmental Specialist","Manufacturing","Mass Customer","Yes",8
"Gill Branney","F",33,"3068",88,"Automation Specialist I","Manufacturing","Affluent Customer","No",1
"Paige Bax","M",33,"2946",14,"Chief Design Engineer","Property","Mass Customer","Yes",7
"Kippy Jessel","F",33,"472",38,"Internal Auditor","Financial Services","Mass Customer","Yes",8
"Bridget Bussons","F",33,"2671",11,"Analyst Programmer","Financial Services","Mass Customer","No",11
"Ethelyn Pincott","F",33,"386",63,"Senior Quality Engineer","Argiculture","Mass Customer","No",5
"Lorilyn Topaz","F",33,"527",81,"VP Quality Control","Financial Services","Mass Customer","Yes",9
"Giacomo Johanning","M",33,"544",51,"Structural Engineer","Manufacturing","High Net Worth","Yes",5
"Lillian Somerfield","F",33,"3699",40,"Recruiting Manager","Manufacturing","Mass Customer","No",5
"Ravid Kilgallon","M",33,"1269",56,"Account Coordinator","Property","High Net Worth","Yes",7
"Dietrich Escott","M",33,"1515",80,"Geological Engineer","Manufacturing","Mass Customer","Yes",2
"Clevey Ivamy","M",33,"900",48,"Associate Professor","Manufacturing","Mass Customer","Yes",5
"May Birch","F",33,"3532",27,"Media Manager I","Health","High Net Worth","Yes",7
"Theressa Morfield","F",33,"3866",56,"Structural Engineer","Health","Mass Customer","Yes",9
"Yves Trehearne","M",33,"1511",97,"Internal Auditor","Financial Services","Mass Customer","No",4
"Pris Stallebrass","F",33,"107",97,"Nurse Practicioner","Financial Services","Mass Customer","Yes",9
"Padriac Apple","M",33,"2679",5,"Director of Sales","Financial Services","High Net Worth","No",10
"Paquito Maitland","M",33,"3102",37,"Assistant Manager","Property","Affluent Customer","No",2
"Sandye Avraam","F",33,"2014",49,"Associate Professor","Manufacturing","Mass Customer","Yes",8
"Nev Malone","M",33,"2232",69,"Help Desk Technician","Retail","Mass Customer","Yes",11
"Jessa Milnthorpe","F",33,"3617",11,"Structural Analysis Engineer","Manufacturing","Mass Customer","Yes",3
"Ambrose Raiston","M",33,"1162",29,"Marketing Assistant","Manufacturing","Mass Customer","Yes",7
"Marcella Manzell","F",33,"481",68,"Programmer IV","Argiculture","Mass Customer","No",8
"Russell Brittoner","M",33,"3044",59,"Occupational Therapist","Health","Affluent Customer","Yes",19
"Alicia Townend","F",33,"410",14,"Structural Engineer","Health","Mass Customer","Yes",11
"Gerard Steketee","M",33,"574",95,"Senior Cost Accountant","Financial Services","Mass Customer","No",20
"Melamie Hardman","F",33,"1859",81,"Accountant IV","IT","High Net Worth","Yes",12
"Clemence Vautre","F",33,"836",33,"Actuary","Financial Services","Mass Customer","Yes",9
"Elena Sandys","F",33,"3632",82,"Teacher","Financial Services","Mass Customer","No",9
"Margalit Handrick","F",33,"1502",52,"Design Engineer","Financial Services","Affluent Customer","Yes",11
"Goldi Dwine","F",33,"276",47,"VP Quality Control","Financial Services","Mass Customer","No",22
"Leora Sanderson","F",33,"2899",13,"Nuclear Power Engineer","Manufacturing","High Net Worth","No",4
"Stuart Dutnell","M",33,"2955",74,"Community Outreach Specialist","Financial Services","High Net Worth","No",13
"De Leyband","F",33,"3563",70,"Financial Analyst","Financial Services","Affluent Customer","No",10
"Perla Sabatier","F",33,"2563",49,"Administrative Assistant IV","Manufacturing","Mass Customer","Yes",20
"Steven Castellaccio","M",33,"1316",79,"Recruiter","Retail","High Net Worth","Yes",18
"Suzann Wilks","F",33,"1022",56,"Assistant Manager","Financial Services","Affluent Customer","Yes",14
"Neville Bloyes","M",33,"1891",6,"Marketing Manager","Retail","Mass Customer","Yes",19
"Chiquita Billyard","F",33,"1547",82,"Account Coordinator","Argiculture","Mass Customer","Yes",12
"Valerye Yukhtin","F",33,"3747",8,"Web Developer IV","Manufacturing","Mass Customer","Yes",10
"Faina Czaja","F",33,"3664",5,"Software Test Engineer I","Manufacturing","Mass Customer","Yes",7
"Josias Mulliner","M",33,"700",67,"Compensation Analyst","Financial Services","Mass Customer","No",4
"Cherin Thireau","F",33,"3355",50,"Staff Accountant I","Manufacturing","Mass Customer","No",3
"Stesha Morecombe","F",33,"823",91,"Internal Auditor","Manufacturing","Affluent Customer","No",9
"Towny Python","M",33,"2443",30,"Computer Systems Analyst I","Property","High Net Worth","No",20
"Amby Pentin","M",33,"432",83,"Nuclear Power Engineer","Manufacturing","Affluent Customer","Yes",10
"Sherman McCusker","M",33,"1105",39,"General Manager","Manufacturing","Mass Customer","No",18
"Bernadine Shakeshaft","F",33,"3253",42,"Cost Accountant","Financial Services","High Net Worth","Yes",7
"Barnebas Munro","M",33,"3841",64,"Desktop Support Technician","Manufacturing","Affluent Customer","No",10
"Raff Everley","M",33,"1125",25,"Software Test Engineer III","IT","Affluent Customer","No",9
"Claresta Bonnor","F",33,"2330",5,"Account Coordinator","Property","Mass Customer","No",9
"Alysa McDiarmid","F",33,"3837",26,"Professor","Telecommunications","Mass Customer","Yes",17
"Kane Gaffer","M",33,"706",44,"Media Manager IV","Financial Services","High Net Worth","Yes",5
"Evangelina Coxhell","F",33,"2130",95,"Structural Engineer","Property","High Net Worth","Yes",16
"Shirlee Murdoch","F",34,"3071",59,"Assistant Media Planner","Entertainment","Mass Customer","Yes",12
"Virgilio Willcocks","M",34,"293",80,"Administrative Assistant III","Manufacturing","Mass Customer","Yes",20
"Baudoin McCartney","M",34,"1268",20,"Cost Accountant","Financial Services","High Net Worth","Yes",2
"Catie Tosspell","F",34,"174",93,"Food Chemist","Health","Mass Customer","No",12
"Denys Dumingos","F",34,"2816",87,"Administrative Assistant II","Financial Services","Mass Customer","Yes",14
"Carolann O'Hallagan","F",34,"613",4,"Analyst Programmer","Property","High Net Worth","No",17
"Olva Sheehy","F",34,"1659",75,"Software Consultant","Property","High Net Worth","Yes",13
"Anette Guerreiro","F",34,"2095",69,"Account Executive","Manufacturing","Affluent Customer","No",8
"Beitris Lamy","F",34,"2269",33,"Product Engineer","Financial Services","Mass Customer","No",9
"Ondrea Pablos","F",34,"177",25,"Professor","Financial Services","High Net Worth","No",4
"Lauren Curcher","M",34,"282",82,"VP Quality Control","Argiculture","High Net Worth","Yes",11
"Lucio Reame","M",34,"1382",27,"Data Coordiator","Manufacturing","High Net Worth","Yes",20
"Jacqui Fortnam","F",34,"3929",50,"Director of Sales","Manufacturing","Affluent Customer","Yes",10
"Dulsea Maffi","F",34,"2643",53,"Nurse","Financial Services","Affluent Customer","No",18
"Teresina Gibbie","F",34,"955",78,"Research Nurse","Health","Mass Customer","Yes",9
"Fremont Spawton","M",34,"1260",92,"Tax Accountant","Property","Mass Customer","No",9
"Carlina Pencot","F",34,"1227",63,"Software Engineer I","IT","Affluent Customer","Yes",12
"Janot McGougan","F",34,"1498",84,"Nurse","IT","Affluent Customer","Yes",13
"Coral Dunkirk","F",34,"812",1,"Human Resources Manager","Financial Services","Mass Customer","No",16
"Shermie Andrin","M",34,"77",79,"Automation Specialist IV","Financial Services","Mass Customer","No",7
"Stearn Willerstone","M",34,"3476",39,"Information Systems Manager","Manufacturing","Affluent Customer","No",7
"Peggi Tolan","F",34,"2537",8,"Senior Quality Engineer","Financial Services","Affluent Customer","Yes",12
"Salomone Sleford","M",34,"843",80,"Developer II","Manufacturing","Affluent Customer","Yes",9
"Winna Verny","F",34,"515",55,"Help Desk Operator","IT","High Net Worth","No",8
"Nestor Billingsley","M",34,"1109",21,"Web Developer II","Entertainment","High Net Worth","No",6
"Joice Govett","F",34,"2078",15,"Computer Systems Analyst III","Manufacturing","Mass Customer","No",3
"Lorri Byrth","F",34,"3522",73,"Cost Accountant","Financial Services","High Net Worth","Yes",11
"Ebenezer Bottelstone","M",34,"438",25,"Internal Auditor","Property","High Net Worth","Yes",13
"Charmion Dobsons","F",34,"1495",4,"Physical Therapy Assistant","Health","High Net Worth","Yes",8
"Thurston McKennan","M",34,"2784",6,"Geological Engineer","Manufacturing","Mass Customer","No",13
"Kiley Canaan","M",34,"286",99,"Accounting Assistant II","Manufacturing","Affluent Customer","Yes",11
"Gavin Fawks","M",34,"240",49,"Administrative Assistant III","IT","High Net Worth","Yes",15
"Selene Vasiltsov","F",34,"902",37,"Staff Scientist","Retail","Mass Customer","No",18
"Sandor Tumber","M",34,"529",18,"Operator","Retail","Affluent Customer","Yes",10
"Andy Polgreen","F",34,"1088",19,"Design Engineer","Financial Services","High Net Worth","Yes",3
"Yoko Dowrey","F",34,"932",30,"Graphic Designer","Financial Services","Mass Customer","No",18
"Lelia Garatty","F",34,"266",69,"Account Executive","Retail","Affluent Customer","No",18
"Burr Gerb","M",34,"503",87,"Dental Hygienist","Health","Affluent Customer","Yes",10
"Filia Rosson","F",34,"606",62,"Chemical Engineer","Manufacturing","Mass Customer","Yes",2
"Wendy Randlesome","F",34,"1329",65,"Database Administrator IV","Manufacturing","Mass Customer","No",11
"Obed Pauler","M",34,"1972",12,"Database Administrator I","IT","Mass Customer","Yes",2
"Carolan Ortler","F",34,"2409",23,"Junior Executive","Health","Mass Customer","No",12
"Walker Bartalot","M",34,"1589",83,"Human Resources Manager","Health","Mass Customer","Yes",4
"Ezechiel Parnall","M",34,"1086",84,"Statistician IV","Property","Mass Customer","Yes",4
"Lou Drews","F",34,"1379",63,"Legal Assistant","Financial Services","Mass Customer","Yes",7
"Hewett Handes","M",34,"1793",19,"Actuary","Financial Services","Mass Customer","Yes",2
"Solomon Ruffles","M",34,"3685",86,"Human Resources Manager","Financial Services","Affluent Customer","Yes",16
"Mahmoud Ligerton","M",34,"3843",0,"Senior Financial Analyst","Financial Services","Mass Customer","Yes",16
"Yetty Conneely","F",34,"3106",13,"Actuary","Financial Services","Mass Customer","Yes",21
"Mathias Element","M",34,"2472",99,"Product Engineer","Health","High Net Worth","Yes",16
"Izak Andreutti","M",34,"3094",51,"Biostatistician II","Financial Services","Mass Customer","Yes",17
"Giacomo Roseburgh","M",34,"1377",86,"Mechanical Systems Engineer","Retail","Mass Customer","Yes",2
"Valaria Abrehart","F",34,"2281",56,"Executive Secretary","Retail","High Net Worth","Yes",14
"Martino Shalcros","M",34,"1214",0,"Internal Auditor","Property","High Net Worth","No",15
"Ahmed Edmondson","M",34,"1538",74,"Pharmacist","Health","High Net Worth","Yes",12
"Kane Jahnel","M",34,"476",65,"Computer Systems Analyst IV","Manufacturing","Mass Customer","No",14
"Stephie Byars","F",34,"3994",5,"Structural Analysis Engineer","Manufacturing","Affluent Customer","No",12
"Raine Sneezum","F",34,"537",16,"Structural Engineer","Entertainment","High Net Worth","No",7
"Toma Klaaasen","F",34,"3665",19,"Dental Hygienist","Health","Mass Customer","No",6
"Annis Freeth","F",34,"2148",78,"Engineer I","Manufacturing","Mass Customer","Yes",15
"Rozanna Chartman","F",34,"2766",93,"Financial Advisor","Financial Services","High Net Worth","Yes",8
"Moise Inde","M",34,"1336",83,"Physical Therapy Assistant","IT","Mass Customer","Yes",15
"Phaidra Jindacek","F",34,"1575",82,"Design Engineer","Retail","Mass Customer","No",17
"Jammie McEvon","F",34,"3453",57,"Product Engineer","Retail","Affluent Customer","No",14
"Essy Vondrak","F",34,"1296",61,"Paralegal","Financial Services","Affluent Customer","Yes",9
"Melli Sperwell","F",34,"1654",67,"Professor","IT","High Net Worth","Yes",9
"Job Sleney","M",34,"86",75,"Occupational Therapist","Health","High Net Worth","Yes",7
"Clarita Jaqueminet","F",34,"2121",35,"Nurse","Financial Services","Mass Customer","Yes",22
"Addi","F",34,"2311",49,"Design Engineer","Health","Mass Customer","No",16
"Elli","F",34,"2918",58,"Recruiting Manager","Financial Services","Mass Customer","Yes",5
"Tish Oleksiak","F",34,"345",74,"Senior Sales Associate","Health","High Net Worth","Yes",17
"Maure Crow","F",34,"1098",99,"Administrative Assistant IV","Financial Services","Mass Customer","Yes",12
"Kissie Delong","F",34,"793",97,"Actuary","Financial Services","High Net Worth","Yes",9
