"customer_name","gender","customer_id","past_3_years_bike_related_purchases","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Target","lat","lon","age_group","job_type","Median salary or wages"
"Albrecht Forty","M","626",12,"Manufacturing","Mass Customer","No",2,"226","Rowland Street",4178,"QLD","Australia",7,"Mid-Value",-27.4460875469498,153.160821211631,"25-34","Technical",53250
"Lydon Dahlman","M","182",99,"Financial Services","Affluent Customer","Yes",7,"83012","Dapin Lane",4300,"QLD","Australia",4,"High-Value",-27.6601439031636,152.910363371682,"25-34","Other",52180
"Janifer Pountain","F","670",75,"Retail","Affluent Customer","No",8,"756","Farragut Place",4740,"QLD","Australia",2,"Low-Value",-21.1229617040444,149.192090253298,"25-34","Technical",54635
"Hall Grouer","M","1912",36,"Manufacturing","High Net Worth","No",7,"3","Roth Place",2449,"NSW","Australia",2,"High-Value",-31.0433129489369,152.545131713335,"25-34","Administrative",34993
"Matthew Jeaycock","M","47",51,"Health","Affluent Customer","No",2,"543","Killdeer Park",2322,"NSW","Australia",4,"Mid-Value",-32.792203198336,151.66521315401,"25-34","Healthcare",50666
"Norman Cliff","M","126",53,"Health","Mass Customer","Yes",3,"8","Hagan Hill",4508,"QLD","Australia",4,"High-Value",-27.19005329,153.022126013792,"25-34","Other",44996
"Huberto Bazylets","M","1866",27,"Manufacturing","Mass Customer","No",2,"7","Canary Circle",2047,"NSW","Australia",12,"High-Value",-33.8534464269231,151.152315235386,"25-34","Managerial",68391
"Hans Ison","M","2525",25,"Financial Services","Mass Customer","No",8,"88551","Hollow Ridge Pass",3500,"VIC","Australia",2,"Low-Value",-34.1907804168675,142.153340423591,"25-34","Quantitative",42086
"Edik Connichie","M","592",73,"Manufacturing","Mass Customer","No",2,"86857","Hoepker Lane",4300,"QLD","Australia",8,"Low-Value",-27.6601439031636,152.910363371682,"25-34","Managerial",52180
"D'arcy Slay","M","249",65,"IT","High Net Worth","No",9,"37024","Anniversary Place",2204,"NSW","Australia",11,"Mid-Value",-33.9050464526882,151.161542759147,"25-34","Technical",55495
"Wallie Baitman","M","2840",63,"Manufacturing","Mass Customer","Yes",9,"3619","Elgar Terrace",3337,"VIC","Australia",3,"High-Value",-37.6697798057692,144.571605582091,"25-34","Administrative",48100
"Hadleigh Birley","M","1146",88,"Financial Services","High Net Worth","No",8,"0","Scofield Plaza",3201,"VIC","Australia",4,"Low-Value",-38.097174385,145.180062152295,"25-34","Administrative",49007
"Ruthe Campe","F","2453",22,"Telecommunications","High Net Worth","No",9,"6","Morningstar Way",2165,"NSW","Australia",7,"Mid-Value",-33.8678372055556,150.946312877284,"25-34","Technical",43605
"Hubert Kliner","M","3142",98,"Manufacturing","Mass Customer","No",6,"13","Basil Lane",2036,"NSW","Australia",9,"High-Value",-33.9687433573679,151.234818968302,"25-34","Technical",54563
"Renado Wonfor","M","3032",53,"Health","Affluent Customer","Yes",5,"7","Lerdahl Court",4207,"QLD","Australia",6,"Mid-Value",-27.7299240994603,153.191237398608,"25-34","Managerial",47124
"Carter Kaesmakers","M","806",66,"Retail","Mass Customer","Yes",7,"18","Erie Point",2767,"NSW","Australia",9,"Mid-Value",-33.7663539035714,150.871047304662,"25-34","Administrative",52064
"Jerrold Bernetti","M","1620",18,"Manufacturing","High Net Worth","Yes",2,"9020","Anhalt Park",2528,"NSW","Australia",7,"Low-Value",-34.5513682047619,150.858059723846,"25-34","Technical",45684
"Cleo","F","1455",2,"Property","Affluent Customer","No",8,"77729","Kim Plaza",2560,"NSW","Australia",7,"Mid-Value",-34.0862672238874,150.809804183538,"25-34","Technical",50249
"Ursulina Carter","F","2275",77,"Financial Services","High Net Worth","Yes",8,"3417","Huxley Pass",3355,"VIC","Australia",2,"Low-Value",-37.5343887345098,143.819400080397,"25-34","Administrative",43370
"Iorgo Krol","M","2255",92,"Health","Affluent Customer","Yes",5,"4","Mallory Hill",2880,"NSW","Australia",1,"Low-Value",-31.4160928752337,141.662222399278,"25-34","Other",48051
"Dre Ferrillo","F","2107",2,"IT","Affluent Customer","Yes",4,"882","Merry Trail",4701,"QLD","Australia",4,"Low-Value",-23.3478986801282,150.535229514738,"25-34","Quantitative",50325
"Raul Cabrer","M","1873",49,"Manufacturing","Affluent Customer","Yes",4,"2769","Banding Avenue",3189,"VIC","Australia",10,"High-Value",-37.9397943866667,145.055504567447,"25-34","Managerial",52265
"Ivory MacKnocker","F","2906",93,"Retail","Mass Customer","Yes",4,"72850","Lotheville Junction",2480,"NSW","Australia",4,"Mid-Value",-28.7491896334008,153.277049148567,"25-34","Technical",41942
"Laverna Shiril","F","2805",0,"Manufacturing","High Net Worth","No",4,"4672","Morningstar Circle",2760,"NSW","Australia",7,"High-Value",-33.7559696774725,150.778536826156,"25-34","Administrative",50947
"De witt Gleave","M","2250",72,"Telecommunications","High Net Worth","No",7,"9248","Ludington Circle",2714,"NSW","Australia",1,"Low-Value",-35.781746128125,145.506068372177,"25-34","Technical",39862
"Dorie Willock","M","1113",45,"Property","Mass Customer","No",6,"515","3rd Road",2037,"NSW","Australia",12,"High-Value",-33.8813303119925,151.187170275826,"25-34","Administrative",56515
"Kenneth Viall","M","1980",97,"Health","High Net Worth","Yes",7,"67125","Melody Place",2747,"NSW","Australia",8,"Mid-Value",-33.7552136666747,150.752381214054,"25-34","Healthcare",52798
"Lida Boynton","F","490",44,"Argiculture","Mass Customer","No",6,"8670","Pine View Street",3070,"VIC","Australia",11,"Mid-Value",-37.7782767710431,145.001878310909,"25-34","Other",55435
"Sheilah Blackmore","F","510",61,"Health","Mass Customer","No",2,"20373","Kensington Pass",2151,"NSW","Australia",8,"Low-Value",-33.7988994488821,151.007780217306,"25-34","Technical",54706
"Rhodia D'Onise","F","1024",17,"Health","High Net Worth","Yes",2,"1128","Golden Leaf Center",3124,"VIC","Australia",9,"High-Value",-37.8321231737466,145.068192335726,"25-34","Other",54127
"Madelena Blincoe","F","2218",94,"Health","Affluent Customer","No",4,"3468","Rigney Place",3505,"VIC","Australia",1,"Mid-Value",-34.1744374461671,142.063226641899,"25-34","Other",42063
"Hazlett Rosenschein","M","2322",72,"Health","Mass Customer","Yes",2,"496","Summit Road",2120,"NSW","Australia",10,"Low-Value",-33.7290704166667,151.076926770129,"25-34","Quantitative",60216
"Dmitri Eleshenar","M","1941",83,"Entertainment","Mass Customer","No",2,"79862","Darwin Crossing",4215,"QLD","Australia",8,"High-Value",-27.962496031677,153.406879311547,"25-34","Other",41612
"Zachery Monkhouse","M","1638",55,"Financial Services","Mass Customer","Yes",10,"313","Schiller Trail",3018,"VIC","Australia",4,"High-Value",-37.8581837684783,144.815450702136,"25-34","Healthcare",56661
"Laurent Ainslee","M","2607",90,"Health","Affluent Customer","Yes",7,"76085","Eagan Crossing",3071,"VIC","Australia",10,"High-Value",-37.7565813166641,144.998123676963,"25-34","Healthcare",51678
"Othella Keher","F","258",24,"Manufacturing","High Net Worth","No",9,"6759","Nevada Point",2323,"NSW","Australia",6,"High-Value",-32.7831400035211,151.567845588058,"25-34","Other",50658
"Pierce Cheke","M","1939",81,"Health","Mass Customer","Yes",8,"1979","Arapahoe Trail",4701,"QLD","Australia",3,"Low-Value",-23.3478986801282,150.535229514738,"25-34","Technical",50325
"Susanetta","F","1584",93,"Manufacturing","Mass Customer","No",9,"6","Logan Junction",2148,"NSW","Australia",9,"High-Value",-33.7746678359649,150.902494340217,"25-34","Administrative",49140
"Shurlocke Pirie","M","1365",97,"Health","Mass Customer","No",3,"970","Sundown Place",3222,"VIC","Australia",5,"Low-Value",-38.1963847382353,144.565463964995,"25-34","Other",44658
"Hussein Ticic","M","3250",27,"Argiculture","High Net Worth","Yes",4,"7","Holy Cross Lane",4300,"QLD","Australia",5,"Mid-Value",-27.6601439031636,152.910363371682,"25-34","Quantitative",52180
"Angelo Clayal","M","176",39,"Property","Mass Customer","No",10,"272","Montana Avenue",2021,"NSW","Australia",8,"Mid-Value",-33.8859532674427,151.230240450607,"25-34","Quantitative",70122
"Kirsten Longman","F","1128",47,"Financial Services","Mass Customer","Yes",8,"81114","7th Place",4869,"QLD","Australia",4,"Mid-Value",-17.0187557,145.7448496,"25-34","Other",48310
"Lazar Crathern","M","500",19,"Retail","Affluent Customer","Yes",10,"2639","Brown Road",3910,"VIC","Australia",7,"High-Value",-38.1459127295699,145.196559523043,"25-34","Managerial",49828
"Niel Abilowitz","M","817",38,"Financial Services","Mass Customer","Yes",6,"87","Twin Pines Plaza",3976,"VIC","Australia",5,"High-Value",-38.0353158461538,145.263525809667,"25-34","Other",45609
"Harwilll Crimes","M","3093",31,"Property","High Net Worth","Yes",6,"6","Lighthouse Bay Pass",3042,"VIC","Australia",9,"Mid-Value",-37.7237276367925,144.859220204731,"25-34","Technical",54924
"Lebbie Bruck","F","602",0,"Manufacturing","High Net Worth","Yes",9,"506","Iowa Center",4580,"QLD","Australia",3,"Mid-Value",-25.9719051078231,152.985423180902,"25-34","Administrative",33588
"Audry Scurrey","F","1194",69,"Telecommunications","Affluent Customer","No",3,"261","Farmco Drive",4118,"QLD","Australia",4,"High-Value",-27.6623639442857,153.018341358523,"25-34","Other",48945
"Taite Droghan","M","242",17,"Property","Affluent Customer","No",8,"796","Melody Park",2200,"NSW","Australia",9,"Low-Value",-33.9179312734903,151.030705594586,"25-34","Healthcare",43005
"Felicity Beirne","F","2351",35,"Retail","Affluent Customer","Yes",10,"866","Pennsylvania Junction",3181,"VIC","Australia",10,"Mid-Value",-37.8492267108491,144.99527656236,"25-34","Administrative",57515
"Crosby Claeskens","M","1563",39,"Property","Mass Customer","No",9,"8462","Emmet Trail",4878,"QLD","Australia",4,"Low-Value",-16.8364755593399,145.69736351993,"25-34","Administrative",48042
"Charlie Hastilow","M","2029",10,"Manufacturing","Mass Customer","No",7,"2","Thierer Place",4053,"QLD","Australia",8,"High-Value",-27.4003306967121,152.992586381134,"25-34","Healthcare",56792
"Rollie","M","1202",90,"Retail","Mass Customer","Yes",8,"0","Kedzie Junction",2155,"NSW","Australia",10,"Low-Value",-33.6963501305118,150.933886619322,"25-34","Administrative",61221
"Tobe Lindroos","F","2077",67,"Financial Services","Mass Customer","Yes",7,"27","Rockefeller Plaza",4556,"QLD","Australia",8,"Low-Value",-26.6739260196765,153.073408089854,"25-34","Quantitative",45026
"Maddy Larrat","F","779",1,"Health","High Net Worth","No",7,"2570","Wayridge Park",2093,"NSW","Australia",9,"Low-Value",-33.7915116714286,151.261056984381,"25-34","Quantitative",59976
"Valdemar MacCoughen","M","374",81,"Financial Services","Mass Customer","Yes",8,"1823","Judy Center",3165,"VIC","Australia",10,"High-Value",-37.9242895413066,145.076978914645,"25-34","Technical",54210
"Janka Yesinin","F","871",40,"Manufacturing","Mass Customer","Yes",5,"71039","Packers Street",2034,"NSW","Australia",10,"Mid-Value",-33.9066714598765,151.259946134591,"25-34","Technical",64979
"Coop Stancer","M","2657",20,"Financial Services","Mass Customer","No",5,"447","Delaware Park",3911,"VIC","Australia",5,"Low-Value",-38.1943521861111,145.159147626611,"25-34","Administrative",46356
"Duffy Cotillard","M","3359",82,"Retail","Mass Customer","No",3,"20","Alpine Circle",3181,"VIC","Australia",7,"Low-Value",-37.8492267108491,144.99527656236,"25-34","Technical",57515
"Lenna Coales","F","991",11,"Financial Services","Mass Customer","Yes",10,"745","Huxley Center",3757,"VIC","Australia",9,"Low-Value",-37.5177075066176,145.268930731482,"25-34","Technical",48691
"Trix","F","1301",17,"Health","Mass Customer","No",9,"392","Ridge Oak Road",4165,"QLD","Australia",7,"High-Value",-27.619472896875,153.296431644137,"25-34","Technical",52462
"Mile Dionisii","M","455",97,"Manufacturing","Mass Customer","Yes",5,"6","Mariners Cove Center",2233,"NSW","Australia",10,"Low-Value",-34.0646286349749,151.014058327628,"25-34","Technical",56891
"Morissa Wolfendell","F","3150",66,"Financial Services","Mass Customer","No",5,"39","Havey Alley",2220,"NSW","Australia",9,"Mid-Value",-33.9664698769231,151.105515441045,"25-34","Other",41337
"Merna Eyers","F","3076",9,"Health","Mass Customer","Yes",4,"1944","Charing Cross Junction",2126,"NSW","Australia",10,"Low-Value",-33.724037725,151.041793144464,"25-34","Other",58535
"Torey Beharrell","M","3340",61,"Financial Services","Mass Customer","No",2,"322","Namekagon Trail",2107,"NSW","Australia",11,"Low-Value",-33.6290786594861,151.327077452658,"25-34","Administrative",49793
"Elli Loxdale","F","1138",77,"Retail","Mass Customer","Yes",5,"6","Dapin Park",4503,"QLD","Australia",6,"Low-Value",-27.2353301176035,152.976109015268,"25-34","Quantitative",49716
"Nadya Callaghan","F","3346",61,"Financial Services","High Net Worth","No",3,"7353","Thierer Road",4300,"QLD","Australia",2,"Low-Value",-27.6601439031636,152.910363371682,"25-34","Other",52180
"Antonetta Dumbrall","F","1412",20,"Argiculture","Mass Customer","Yes",4,"46","Dovetail Avenue",2830,"NSW","Australia",4,"Low-Value",-32.2286077673692,148.647786354522,"25-34","Quantitative",47520
"Kurtis Baistow","M","408",79,"Financial Services","Affluent Customer","No",11,"981","West Way",3133,"VIC","Australia",10,"High-Value",-37.8586430411864,145.183688853245,"25-34","Technical",49194
"Jorrie Cerman","F","3284",98,"Retail","Affluent Customer","No",2,"34748","Charing Cross Point",3057,"VIC","Australia",10,"Low-Value",-37.7725064197049,144.975648489319,"25-34","Managerial",53453
"Alic Trenear","M","369",19,"Financial Services","Mass Customer","Yes",9,"6085","Petterle Circle",3130,"VIC","Australia",10,"Low-Value",-37.8168718255319,145.151785954685,"25-34","Quantitative",51064
"Jinny Cawood","F","1883",6,"Health","Mass Customer","No",6,"57","Marquette Hill",4120,"QLD","Australia",6,"Mid-Value",-27.5069133075224,153.048773120972,"25-34","Other",52370
"Iseabal Fullbrook","F","1023",16,"Financial Services","Affluent Customer","Yes",6,"37208","Golf View Terrace",2145,"NSW","Australia",8,"Low-Value",-33.8133842931533,150.955551059031,"25-34","Quantitative",53591
"Jedidiah Daulby","M","2511",20,"Financial Services","Mass Customer","Yes",4,"9","Caliangt Park",2087,"NSW","Australia",11,"Mid-Value",-33.76645138,151.215357973915,"25-34","Other",58984
"Terrel Kreuzer","M","3391",93,"Manufacturing","Mass Customer","No",7,"312","Swallow Place",3021,"VIC","Australia",7,"Mid-Value",-37.7405577986842,144.798495838179,"25-34","Technical",41841
"Joycelin","F","916",18,"Manufacturing","Affluent Customer","No",8,"42","Cordelia Park",2567,"NSW","Australia",8,"Mid-Value",-34.0428135076923,150.744314553532,"25-34","Administrative",55859
"Mellicent Dollin","F","974",92,"Manufacturing","Mass Customer","Yes",4,"1472","Meadow Vale Lane",4034,"QLD","Australia",7,"High-Value",-27.3585811122162,153.034066724728,"25-34","Administrative",51822
"Mose Middler","M","1696",48,"Entertainment","High Net Worth","No",2,"367","Algoma Lane",2153,"NSW","Australia",10,"High-Value",-33.7534401900469,150.998019385312,"25-34","Other",59130
"Reidar Pullin","M","2456",9,"Property","Mass Customer","No",10,"6568","Northridge Pass",3029,"VIC","Australia",6,"Low-Value",-37.8470691418301,144.699759689208,"25-34","Other",49240
"Kelci Morrison","F","847",66,"Retail","High Net Worth","No",9,"0","Algoma Crossing",2141,"NSW","Australia",7,"Low-Value",-33.861467945871,151.043922307641,"25-34","Managerial",42130
"Blanch Leyshon","F","1695",11,"Manufacturing","High Net Worth","Yes",4,"1908","Brickson Park Trail",2112,"NSW","Australia",8,"Mid-Value",-33.8136492514493,151.113765683921,"25-34","Technical",54463
"Iggy Whorton","M","3306",50,"Financial Services","Mass Customer","No",7,"518","Donald Street",2170,"NSW","Australia",9,"Mid-Value",-33.9264704636,150.912612024628,"25-34","Technical",49851
"Oberon Scading","M","1558",14,"Financial Services","Affluent Customer","No",2,"7236","Jenifer Point",2763,"NSW","Australia",10,"High-Value",-33.7286524113636,150.898138975756,"25-34","Managerial",55336
"Chance Maben","M","1687",16,"Manufacturing","Affluent Customer","Yes",8,"86","Morningstar Junction",2031,"NSW","Australia",12,"High-Value",-33.9155030186822,151.24522472049,"25-34","Technical",64202
"Bernhard Senett","M","518",60,"Retail","Mass Customer","Yes",10,"49503","Sachtjen Circle",4208,"QLD","Australia",8,"Low-Value",-27.7784524369792,153.256033487333,"25-34","Technical",52090
"Bernice Kings","F","328",87,"Manufacturing","Mass Customer","No",12,"2","Thierer Lane",3437,"VIC","Australia",8,"High-Value",-37.49337755,144.591782299938,"25-34","Technical",55544
"Nerita Keppie","F","1703",14,"Telecommunications","Mass Customer","Yes",3,"38233","Boyd Alley",3976,"VIC","Australia",6,"High-Value",-38.0353158461538,145.263525809667,"25-34","Technical",45609
"Evie Bendtsen","F","3061",51,"Manufacturing","Affluent Customer","Yes",3,"11","Farragut Junction",2530,"NSW","Australia",8,"Mid-Value",-34.4860134172043,150.781151272685,"25-34","Administrative",49813
"Lazar Cherryman","M","1110",73,"Retail","High Net Worth","No",12,"9","Dayton Alley",3757,"VIC","Australia",7,"High-Value",-37.5177075066176,145.268930731482,"25-34","Managerial",48691
"Sisely Strelitzer","F","1300",0,"Financial Services","Affluent Customer","Yes",9,"408","Grover Place",4165,"QLD","Australia",9,"Mid-Value",-27.619472896875,153.296431644137,"25-34","Administrative",52462
"Binny Whight","F","246",63,"Manufacturing","High Net Worth","No",9,"25503","Evergreen Drive",4300,"QLD","Australia",5,"High-Value",-27.6601439031636,152.910363371682,"25-34","Other",52180
"Elly Ormshaw","F","1127",30,"Financial Services","Mass Customer","No",8,"1879","Mitchell Center",2206,"NSW","Australia",10,"Low-Value",-33.9251141583333,151.136481187343,"25-34","Administrative",55190
"Felice McVane","M","2578",49,"Retail","High Net Worth","No",3,"71725","Goodland Lane",4509,"QLD","Australia",7,"Mid-Value",-27.2142446550058,153.025277069909,"25-34","Quantitative",53595
"Aeriel Lejeune","F","2611",36,"Financial Services","Affluent Customer","No",9,"23426","Transport Center",2218,"NSW","Australia",10,"High-Value",-33.9679223269231,151.120587896078,"25-34","Quantitative",47441
"Doll Burtwell","F","271",51,"Financial Services","Mass Customer","No",4,"6262","Elgar Avenue",4735,"QLD","Australia",2,"Low-Value",-22.6733477055556,142.947927245355,"25-34","Other",45669
"Sari Noye","F","283",34,"Retail","Mass Customer","No",2,"28604","Bellgrove Circle",4508,"QLD","Australia",6,"Low-Value",-27.19005329,153.022126013792,"25-34","Managerial",44996
"Jarad Bauser","M","466",84,"Manufacturing","Affluent Customer","Yes",2,"9","Dahle Place",2763,"NSW","Australia",9,"Mid-Value",-33.7286524113636,150.898138975756,"25-34","Technical",55336
"Inna Atack","F","3373",19,"Health","Mass Customer","No",5,"25460","Buell Avenue",2060,"NSW","Australia",10,"Mid-Value",-33.8402531074184,151.208854484819,"25-34","Other",71210
"Veronique Wash","F","3067",8,"Manufacturing","Mass Customer","Yes",9,"2178","Washington Hill",3806,"VIC","Australia",6,"Mid-Value",-38.0362726072078,145.339344408016,"25-34","Managerial",51172
"Gill Branney","F","3068",88,"Manufacturing","Affluent Customer","No",1,"330","Vahlen Trail",3072,"VIC","Australia",7,"Mid-Value",-37.7408815669181,145.00576703591,"25-34","Technical",49203
"Paige Bax","M","2946",14,"Property","Mass Customer","Yes",7,"4","Glendale Crossing",3148,"VIC","Australia",10,"High-Value",-37.8806300375,145.087651938522,"25-34","Managerial",49416
"Kippy Jessel","F","472",38,"Financial Services","Mass Customer","Yes",8,"9907","Morningstar Pass",2147,"NSW","Australia",9,"Mid-Value",-33.7642819068182,150.93531962252,"25-34","Other",52880
"Bridget Bussons","F","2671",11,"Financial Services","Mass Customer","No",11,"84","Southridge Lane",2799,"NSW","Australia",2,"Low-Value",-33.5038326354167,149.307963678436,"25-34","Technical",47734
"Ethelyn Pincott","F","386",63,"Argiculture","Mass Customer","No",5,"720","Menomonie Avenue",2749,"NSW","Australia",8,"Mid-Value",-33.7156479520833,150.68557122811,"25-34","Technical",54543
"Lorilyn Topaz","F","527",81,"Financial Services","Mass Customer","Yes",9,"1","Cordelia Alley",2261,"NSW","Australia",8,"Mid-Value",-33.3532840198413,151.470188067694,"25-34","Managerial",46714
"Giacomo Johanning","M","544",51,"Manufacturing","High Net Worth","Yes",5,"858","Independence Terrace",2121,"NSW","Australia",10,"Low-Value",-33.7710730982759,151.079969860376,"25-34","Technical",54992
"Ravid Kilgallon","M","1269",56,"Property","High Net Worth","Yes",7,"543","Victoria Park",4702,"QLD","Australia",6,"Low-Value",-23.0910627428571,150.155801887274,"25-34","Administrative",50254
"Dietrich Escott","M","1515",80,"Manufacturing","Mass Customer","Yes",2,"87746","Bellgrove Park",2211,"NSW","Australia",10,"High-Value",-33.9540693396552,151.033460692137,"25-34","Technical",51616
"Clevey Ivamy","M","900",48,"Manufacturing","Mass Customer","Yes",5,"13845","Hayes Center",3228,"VIC","Australia",8,"High-Value",-38.3411923105178,144.298791737932,"25-34","Other",48687
"Yves Trehearne","M","1511",97,"Financial Services","Mass Customer","No",4,"8802","Fisk Street",2234,"NSW","Australia",10,"High-Value",-34.0097225397059,151.021161199409,"25-34","Other",56498
"Pris Stallebrass","F","107",97,"Financial Services","Mass Customer","Yes",9,"1","Muir Parkway",2096,"NSW","Australia",12,"Low-Value",-33.7753572923077,151.285463674429,"25-34","Healthcare",63162
"Padriac Apple","M","2679",5,"Financial Services","High Net Worth","No",10,"2864","Corscot Parkway",2756,"NSW","Australia",8,"Mid-Value",-33.5693960169725,150.820019754339,"25-34","Managerial",51597
"Paquito Maitland","M","3102",37,"Property","Affluent Customer","No",2,"9","John Wall Parkway",2323,"NSW","Australia",6,"Low-Value",-32.7831400035211,151.567845588058,"25-34","Managerial",50658
"Sandye Avraam","F","2014",49,"Manufacturing","Mass Customer","Yes",8,"828","Waubesa Pass",2234,"NSW","Australia",10,"Mid-Value",-34.0097225397059,151.021161199409,"25-34","Other",56498
"Nev Malone","M","2232",69,"Retail","Mass Customer","Yes",11,"95","Riverside Way",2640,"NSW","Australia",1,"Mid-Value",-36.0851089216229,146.920094129877,"25-34","Technical",47406
"Ambrose Raiston","M","1162",29,"Manufacturing","Mass Customer","Yes",7,"24","Merchant Plaza",3031,"VIC","Australia",10,"Low-Value",-37.7898009759416,144.927415330188,"25-34","Administrative",57372
"Marcella Manzell","F","481",68,"Argiculture","Mass Customer","No",8,"30991","Macpherson Parkway",2155,"NSW","Australia",9,"High-Value",-33.6963501305118,150.933886619322,"25-34","Technical",61221
"Russell Brittoner","M","3044",59,"Health","Affluent Customer","Yes",19,"4","Jenifer Hill",3147,"VIC","Australia",12,"High-Value",-37.8636958907489,145.079475637311,"25-34","Healthcare",54999
"Alicia Townend","F","410",14,"Health","Mass Customer","Yes",11,"25","Graceland Way",2750,"NSW","Australia",8,"High-Value",-33.7549817482385,150.678150439569,"25-34","Technical",53466
"Gerard Steketee","M","574",95,"Financial Services","Mass Customer","No",20,"7","Claremont Court",2111,"NSW","Australia",12,"Low-Value",-33.8333937794118,151.132268278624,"25-34","Quantitative",61656
"Melamie Hardman","F","1859",81,"IT","High Net Worth","Yes",12,"5290","Lunder Park",2287,"NSW","Australia",7,"Mid-Value",-32.8938571483333,151.659698994653,"25-34","Quantitative",49740
"Clemence Vautre","F","836",33,"Financial Services","Mass Customer","Yes",9,"4","Sachtjen Avenue",4210,"QLD","Australia",10,"Low-Value",-27.939794936,153.295392428049,"25-34","Quantitative",49758
"Margalit Handrick","F","1502",52,"Financial Services","Affluent Customer","Yes",11,"78960","Schiller Lane",2450,"NSW","Australia",4,"High-Value",-30.3542454039365,153.057892429229,"25-34","Technical",42274
"Goldi Dwine","F","276",47,"Financial Services","Mass Customer","No",22,"370","Portage Parkway",3125,"VIC","Australia",8,"High-Value",-37.8561824565948,145.097074795332,"25-34","Managerial",41590
"Leora Sanderson","F","2899",13,"Manufacturing","High Net Worth","No",4,"75717","Bartillon Road",2880,"NSW","Australia",1,"Mid-Value",-31.4160928752337,141.662222399278,"25-34","Technical",48051
"Stuart Dutnell","M","2955",74,"Financial Services","High Net Worth","No",13,"7","Blue Bill Park Lane",2765,"NSW","Australia",9,"High-Value",-33.6965376214359,150.818208822562,"25-34","Technical",51381
"Perla Sabatier","F","2563",49,"Manufacturing","Mass Customer","Yes",20,"65","Waxwing Drive",2121,"NSW","Australia",11,"Low-Value",-33.7710730982759,151.079969860376,"25-34","Administrative",54992
"Steven Castellaccio","M","1316",79,"Retail","High Net Worth","Yes",18,"482","Bartelt Junction",4280,"QLD","Australia",7,"Mid-Value",-27.8113980945087,152.975291067409,"25-34","Administrative",51133
"Suzann Wilks","F","1022",56,"Financial Services","Affluent Customer","Yes",14,"80424","Corben Alley",2136,"NSW","Australia",10,"Mid-Value",-33.88933147,151.084921940647,"25-34","Managerial",50607
"Neville Bloyes","M","1891",6,"Retail","Mass Customer","Yes",19,"5786","Kinsman Point",2127,"NSW","Australia",8,"Mid-Value",-33.8350856979103,151.071565609968,"25-34","Managerial",59820
"Chiquita Billyard","F","1547",82,"Argiculture","Mass Customer","Yes",12,"68","Delaware Avenue",2768,"NSW","Australia",10,"High-Value",-33.7305106634615,150.931207614986,"25-34","Administrative",59762
"Josias Mulliner","M","700",67,"Financial Services","Mass Customer","No",4,"6046","Sheridan Way",2322,"NSW","Australia",3,"Low-Value",-32.792203198336,151.66521315401,"25-34","Technical",50666
"Cherin Thireau","F","3355",50,"Manufacturing","Mass Customer","No",3,"45","Talisman Pass",4102,"QLD","Australia",4,"High-Value",-27.4925531855058,153.037881254834,"25-34","Quantitative",45436
"Stesha Morecombe","F","823",91,"Manufacturing","Affluent Customer","No",9,"388","Weeping Birch Plaza",2156,"NSW","Australia",11,"Mid-Value",-33.682824171875,150.98425302909,"25-34","Other",51617
"Towny Python","M","2443",30,"Property","High Net Worth","No",20,"4","Northridge Center",2076,"NSW","Australia",11,"High-Value",-33.714084024619,151.11340654776,"25-34","Technical",61696
"Amby Pentin","M","432",83,"Manufacturing","Affluent Customer","Yes",10,"9","Lukken Parkway",2065,"NSW","Australia",10,"High-Value",-33.8254618310602,151.200535088518,"25-34","Technical",73452
"Sherman McCusker","M","1105",39,"Manufacturing","Mass Customer","No",18,"9","Autumn Leaf Court",2731,"NSW","Australia",4,"High-Value",-36.0898894449275,144.748729398528,"25-34","Managerial",43280
"Bernadine Shakeshaft","F","3253",42,"Financial Services","High Net Worth","Yes",7,"888","Warrior Avenue",2170,"NSW","Australia",8,"High-Value",-33.9264704636,150.912612024628,"25-34","Quantitative",49851
"Raff Everley","M","1125",25,"IT","Affluent Customer","No",9,"182","Esker Center",2759,"NSW","Australia",9,"Mid-Value",-33.7992847606085,150.79264970355,"25-34","Technical",53438
"Claresta Bonnor","F","2330",5,"Property","Mass Customer","No",9,"83","American Ash Drive",2261,"NSW","Australia",8,"High-Value",-33.3532840198413,151.470188067694,"25-34","Administrative",46714
"Kane Gaffer","M","706",44,"Financial Services","High Net Worth","Yes",5,"8","Dottie Court",3480,"VIC","Australia",1,"Mid-Value",-36.3630994722222,142.978600982968,"25-34","Managerial",36360
"Evangelina Coxhell","F","2130",95,"Property","High Net Worth","Yes",16,"26064","Morningstar Junction",2480,"NSW","Australia",2,"High-Value",-28.7491896334008,153.277049148567,"25-34","Technical",41942
"Shirlee Murdoch","F","3071",59,"Entertainment","Mass Customer","Yes",12,"23384","Kings Drive",2261,"NSW","Australia",9,"Low-Value",-33.3532840198413,151.470188067694,"25-34","Administrative",46714
"Virgilio Willcocks","M","293",80,"Manufacturing","Mass Customer","Yes",20,"0","5th Lane",2830,"NSW","Australia",2,"High-Value",-32.2286077673692,148.647786354522,"25-34","Administrative",47520
"Baudoin McCartney","M","1268",20,"Financial Services","High Net Worth","Yes",2,"7","Onsgard Court",4551,"QLD","Australia",9,"Low-Value",-26.8070359170543,153.121601431189,"25-34","Quantitative",44940
