"customer_name","gender","age","customer_id","past_3_years_bike_related_purchases","job_title","job_industry_category","wealth_segment","owns_car","tenure","street_number","street_name","postcode","state","country","property_valuation","Recency","Frequency","Monetary","RFM_Score","Target"
"Britt Muddimer","F",38,3140,2,"Legal Assistant","Manufacturing","High Net Worth","No",16,"3","Canary Center",2040,"NSW","Australia",10,2221,3,673.21,311,"Mid-Value"
"Cassius Birchenough","M",38,2397,33,"Analyst Programmer","Retail","Affluent Customer","Yes",4,"44083","Village Court",2142,"NSW","Australia",7,2234,9,4002.32,243,"Mid-Value"
"Priscella Stathers","F",38,1600,20,"Senior Financial Analyst","Financial Services","High Net Worth","No",2,"96","Sundown Point",4220,"QLD","Australia",9,2194,9,2924.43,443,"High-Value"
"Hannie Wodham","F",38,287,41,"Nuclear Power Engineer","Manufacturing","Affluent Customer","No",4,"5583","Prairie Rose Trail",2765,"NSW","Australia",8,2319,1,1408.91,111,"Low-Value"
"Krystyna Scadden","F",38,3402,73,"Statistician II","Retail","Mass Customer","No",10,"73","Glacier Hill Drive",2880,"NSW","Australia",1,2193,9,6036.19,444,"High-Value"
"David Darrigrand","M",38,2319,63,"Librarian","Entertainment","High Net Worth","No",18,"69444","Mccormick Junction",2539,"NSW","Australia",9,2190,4,4564.9,414,"High-Value"
"Sig Sellan","M",38,2569,62,"VP Quality Control","Retail","Mass Customer","No",16,"147","Golden Leaf Pass",2061,"NSW","Australia",10,2256,7,3935.08,233,"Mid-Value"
"Nathan Antognazzi","M",38,1830,98,"Software Consultant","Manufacturing","High Net Worth","No",12,"717","Oakridge Way",2117,"NSW","Australia",8,2194,7,4578.9,434,"High-Value"
"Onofredo Franc","M",38,138,5,"Recruiter","Financial Services","Affluent Customer","Yes",13,"0","Golden Leaf Crossing",2033,"NSW","Australia",9,2245,7,3377.12,233,"Mid-Value"
"Frankie Seydlitz","M",38,1738,39,"Engineer II","Argiculture","High Net Worth","Yes",14,"130","Loeprich Lane",3808,"VIC","Australia",9,2202,4,1841.07,312,"Mid-Value"
"Esma McOwen","F",38,2673,27,"Software Consultant","Property","Mass Customer","Yes",14,"571","Golf Alley",2650,"NSW","Australia",5,2271,5,1142.54,121,"Low-Value"
"Bradly Deboick","M",38,2932,4,"Account Representative I","IT","Mass Customer","No",17,"2875","Anhalt Court",4570,"QLD","Australia",3,2200,10,5823.71,344,"High-Value"
"Bartholomew Gowdy","M",38,2765,68,"Quality Engineer","IT","Mass Customer","Yes",7,"10369","Sunbrook Way",4051,"QLD","Australia",8,2227,6,2995.18,233,"Mid-Value"
"Bellanca Raymond","F",38,3247,0,"Structural Engineer","Manufacturing","Mass Customer","Yes",5,"3897","Oxford Pass",3350,"VIC","Australia",5,2225,8,3802.55,343,"High-Value"
"Ricoriki Matlock","M",38,146,34,"Quality Control Specialist","Manufacturing","Mass Customer","No",8,"20382","Spohn Alley",2219,"NSW","Australia",11,2375,2,217.06,111,"Low-Value"
"Nettie Bulfit","F",38,1272,2,"Programmer Analyst II","Manufacturing","Affluent Customer","No",17,"26","Portage Junction",4503,"QLD","Australia",5,2205,9,4338.64,344,"High-Value"
"Arch Van der Kruis","M",38,78,37,"Business Systems Development Analyst","Argiculture","Affluent Customer","No",8,"97455","Loeprich Lane",2153,"NSW","Australia",9,2392,2,82.26,111,"Low-Value"
"Ellary Ramsey","M",38,1381,79,"Engineer IV","Manufacturing","Affluent Customer","Yes",15,"6229","Amoth Place",3156,"VIC","Australia",8,2294,5,4177.61,124,"Low-Value"
"Jordanna Skyme","F",38,2733,89,"Analog Circuit Design manager","Manufacturing","Mass Customer","Yes",17,"81254","Buhler Trail",4740,"QLD","Australia",2,2209,9,7827.41,344,"High-Value"
"Dorise Bellon","F",38,2119,51,"Senior Cost Accountant","Financial Services","Mass Customer","No",17,"2","Dawn Avenue",4118,"QLD","Australia",5,2248,4,2795.32,212,"Low-Value"
"Douglas Wrout","M",38,2779,54,"Dental Hygienist","Health","Affluent Customer","Yes",11,"5108","Springview Circle",2128,"NSW","Australia",7,2192,5,3277.58,423,"High-Value"
"Katrinka Sturrock","F",38,367,93,"Programmer II","Manufacturing","Mass Customer","Yes",12,"279","Jenna Circle",2179,"NSW","Australia",12,2224,5,2022.2,322,"Mid-Value"
"Butch Geertje","M",38,1158,85,"Senior Quality Engineer","Retail","Mass Customer","Yes",19,"7975","Browning Plaza",3038,"VIC","Australia",4,2183,7,4888.97,434,"High-Value"
"Brett Scrancher","F",38,506,43,"Health Coach II","Retail","Mass Customer","No",21,"808","Debra Center",3911,"VIC","Australia",10,2237,10,6985.24,244,"Mid-Value"
"Francklin Ubanks","M",38,786,34,"Desktop Support Technician","Financial Services","Affluent Customer","No",16,"3","Crest Line Plaza",2223,"NSW","Australia",10,2190,7,3828.74,433,"High-Value"
"Myranda Clowser","F",38,310,0,"Account Coordinator","Financial Services","Mass Customer","Yes",18,"6","Corry Pass",2450,"NSW","Australia",9,2189,7,4744.19,434,"High-Value"
"Robbie Handaside","M",38,773,77,"Actuary","Financial Services","Affluent Customer","Yes",20,"88","Bay Drive",4305,"QLD","Australia",3,2253,8,5907.35,244,"Mid-Value"
"Bale Ney","M",38,2753,26,"Nuclear Power Engineer","Manufacturing","Mass Customer","Yes",7,"744","Hazelcrest Way",2155,"NSW","Australia",9,2248,11,5203.18,244,"Mid-Value"
"Lizabeth Carswell","F",38,3190,18,"Financial Analyst","Argiculture","Affluent Customer","No",15,"10","Hauk Point",3936,"VIC","Australia",9,2273,8,2529.3,142,"Low-Value"
"Swen Merioth","M",38,3203,25,"GIS Technical Architect","Health","Affluent Customer","Yes",7,"60595","Northport Court",4122,"QLD","Australia",8,2188,3,1744.21,411,"High-Value"
"Davina Dougary","F",38,2132,16,"Human Resources Manager","Financial Services","High Net Worth","Yes",22,"7518","Canary Parkway",2145,"NSW","Australia",9,2199,8,6401.83,444,"High-Value"
"Hoyt Glavias","M",38,71,30,"Research Associate","Argiculture","Affluent Customer","Yes",12,"7041","Briar Crest Lane",2213,"NSW","Australia",10,2312,1,155.65,111,"Low-Value"
"Hilario Magrane","M",38,2983,2,"Human Resources Manager","Retail","Mass Customer","Yes",17,"64","Northview Pass",3163,"VIC","Australia",9,2310,5,3344.17,123,"Low-Value"
"Fairlie Alasdair","M",38,2821,13,"Human Resources Assistant III","Property","Affluent Customer","No",11,"859","Harbort Alley",2099,"NSW","Australia",11,2232,5,1471.91,221,"Low-Value"
"Herc McIlhone","M",38,2309,40,"Accounting Assistant I","Manufacturing","Affluent Customer","No",14,"991","Commercial Road",4300,"QLD","Australia",5,2234,12,7161.99,244,"Mid-Value"
"Alphard Cradduck","M",39,3175,82,"Operator","Health","Mass Customer","No",16,"94850","Moland Street",3072,"VIC","Australia",9,2441,3,1801.14,112,"Low-Value"
"Drucill Laurand","F",39,1909,32,"Research Assistant II","Argiculture","Affluent Customer","Yes",13,"9","Shelley Center",2170,"NSW","Australia",7,2240,6,3456.8,233,"Mid-Value"
"Bunnie Whines","F",39,738,51,"Business Systems Development Analyst","Argiculture","Mass Customer","Yes",9,"282","West Trail",4005,"QLD","Australia",5,2250,8,4706.86,244,"Mid-Value"
"Riane Schultes","F",39,2987,51,"Media Manager II","Manufacturing","High Net Worth","Yes",4,"23812","Tony Lane",2036,"NSW","Australia",8,2233,4,2029.31,212,"Low-Value"
"Garvy Berthel","M",39,329,25,"Account Representative IV","Entertainment","High Net Worth","Yes",12,"19507","Red Cloud Park",3338,"VIC","Australia",4,2215,6,3618.01,333,"Mid-Value"
"Timothy Wenham","M",39,445,91,"Executive Secretary","Financial Services","Mass Customer","No",5,"41","Ronald Regan Center",3008,"VIC","Australia",5,2205,11,8081.86,344,"High-Value"
"Cary Garron","M",39,90,76,"Quality Control Specialist","Manufacturing","Mass Customer","No",11,"171","Fordem Junction",2233,"NSW","Australia",10,2211,7,2990.73,333,"Mid-Value"
"Mareah Woodnutt","F",39,2166,78,"Nurse","Property","Mass Customer","No",16,"47204","Rigney Street",2770,"NSW","Australia",6,2239,6,3071.34,233,"Mid-Value"
"Sharona Cunah","F",39,1311,89,"VP Accounting","Financial Services","Mass Customer","Yes",13,"0","Moland Parkway",4127,"QLD","Australia",7,2228,3,2188.45,212,"Low-Value"
"Mac Leguay","M",39,1464,20,"Office Assistant II","Financial Services","Affluent Customer","Yes",10,"8","Green Ridge Place",2565,"NSW","Australia",9,2287,6,873.93,131,"Low-Value"
"Sonni Lindstedt","F",39,1630,63,"Professor","Manufacturing","Mass Customer","No",16,"5528","North Hill",2681,"NSW","Australia",1,2204,3,1915.23,312,"Mid-Value"
"Susie","F",39,3053,67,"Account Coordinator","Retail","High Net Worth","No",17,"274","Ludington Trail",2428,"NSW","Australia",5,2374,4,2338.53,112,"Low-Value"
"Kennett Attack","M",39,1843,96,"Recruiting Manager","Manufacturing","Mass Customer","Yes",4,"69","Valley Edge Lane",3144,"VIC","Australia",8,2293,4,2132.3,112,"Low-Value"
"Austina Orrice","F",39,915,17,"Budget/Accounting Analyst IV","Entertainment","Mass Customer","No",7,"69278","High Crossing Place",2795,"NSW","Australia",5,2209,5,1260.13,321,"Mid-Value"
"Hamlin Odams","M",39,158,99,"Internal Auditor","Manufacturing","Affluent Customer","No",5,"2","Continental Plaza",2263,"NSW","Australia",6,2246,6,4627.35,234,"Mid-Value"
"Valeria Chazette","F",39,765,50,"Administrative Assistant III","Retail","Affluent Customer","No",16,"20554","Orin Place",3630,"VIC","Australia",1,2205,10,5070.62,344,"High-Value"
"Ruben Handlin","M",39,307,55,"Clinical Specialist","Health","Affluent Customer","Yes",12,"93","Lawn Park",3152,"VIC","Australia",9,2196,9,3660.95,443,"High-Value"
"Currie Gimber","M",39,1614,2,"Project Manager","Manufacturing","High Net Worth","No",8,"835","Thackeray Place",2261,"NSW","Australia",6,2231,6,2397.39,232,"Mid-Value"
"Eugenius Packe","M",39,593,64,"Structural Analysis Engineer","Financial Services","Mass Customer","No",4,"8435","Arkansas Terrace",2340,"NSW","Australia",4,2182,6,3493.8,433,"High-Value"
"Aristotle Vanni","M",39,671,49,"Assistant Professor","Argiculture","Mass Customer","No",5,"197","Mifflin Hill",2260,"NSW","Australia",10,2243,6,5393.05,234,"Mid-Value"
"Elset Biasio","F",39,1562,29,"Staff Scientist","Retail","Affluent Customer","Yes",3,"842","Rutledge Parkway",2145,"NSW","Australia",9,2281,3,2606.7,112,"Low-Value"
"Aeriell Greeding","F",39,2305,91,"Chief Design Engineer","Financial Services","Affluent Customer","Yes",13,"84","Main Lane",3149,"VIC","Australia",10,2259,5,3135.34,223,"Mid-Value"
"Michael Foulis","M",39,1772,98,"Financial Analyst","Financial Services","High Net Worth","Yes",14,"6","Reinke Street",2768,"NSW","Australia",10,2349,4,1648.05,111,"Low-Value"
"Hermina Franzel","F",39,2045,15,"VP Sales","Financial Services","High Net Worth","No",15,"46031","Hudson Place",2075,"NSW","Australia",11,2236,9,5224.69,244,"Mid-Value"
"Fletch Durrett","M",39,3463,7,"Compensation Analyst","Financial Services","Affluent Customer","No",2,"78","Bowman Court",2027,"NSW","Australia",11,2238,4,993.92,211,"Low-Value"
"Paloma Nilles","F",39,2465,31,"Senior Editor","Manufacturing","Mass Customer","Yes",2,"0","Moulton Plaza",2761,"NSW","Australia",8,2192,9,4384.09,444,"High-Value"
"Pavia Gethen","F",39,2936,23,"Project Manager","Financial Services","Mass Customer","Yes",11,"7","New Castle Terrace",2223,"NSW","Australia",10,2240,7,5550.62,234,"Mid-Value"
"Nyssa Banister","F",39,2262,90,"Pharmacist","Health","Mass Customer","Yes",2,"9129","Gale Court",4226,"QLD","Australia",8,2256,4,1502.68,211,"Low-Value"
"Lowe Hinckes","M",39,1348,88,"VP Sales","IT","High Net Worth","No",13,"6002","Del Sol Trail",3630,"VIC","Australia",2,2295,5,5915.86,124,"Low-Value"
"Aldon Roelofs","M",39,165,61,"Administrative Officer","Argiculture","Mass Customer","Yes",12,"22371","Miller Trail",2032,"NSW","Australia",10,2189,8,6107.04,444,"High-Value"
"Sally Cominoli","F",39,1188,14,"Statistician IV","Retail","Affluent Customer","Yes",4,"2","Ramsey Parkway",2104,"NSW","Australia",11,2199,2,2299.82,412,"High-Value"
"Zara Maccaddie","F",39,770,10,"Software Consultant","IT","High Net Worth","Yes",13,"80","Scofield Alley",3121,"VIC","Australia",10,2230,6,4457.48,234,"Mid-Value"
"Max Bilborough","M",39,238,54,"Programmer III","Manufacturing","Mass Customer","Yes",14,"6159","Katie Street",2750,"NSW","Australia",8,2288,5,3112.57,123,"Low-Value"
"Merle Pesticcio","M",39,2094,15,"Biostatistician IV","Health","Mass Customer","No",16,"9","Pierstorff Point",4514,"QLD","Australia",6,2215,5,1368.37,321,"Mid-Value"
"Dione Raithby","F",39,1121,30,"Registered Nurse","Health","Mass Customer","Yes",3,"8548","Hanover Park",2067,"NSW","Australia",11,2188,2,327.07,411,"High-Value"
"Ive Chapelhow","M",39,811,6,"Nurse Practicioner","Financial Services","Mass Customer","No",8,"5409","Mandrake Circle",2152,"NSW","Australia",10,2355,3,496.62,111,"Low-Value"
"Ranee Henriksson","F",39,1528,78,"Computer Systems Analyst IV","Manufacturing","High Net Worth","No",3,"28","Mcguire Junction",2171,"NSW","Australia",10,2256,7,5083.41,234,"Mid-Value"
"Bobby Farmiloe","M",40,2363,92,"Nurse","Entertainment","Mass Customer","Yes",16,"17123","Northport Circle",4223,"QLD","Australia",9,2239,6,3222.99,233,"Mid-Value"
"Lira Durn","F",40,1208,23,"Budget/Accounting Analyst IV","Financial Services","Mass Customer","No",15,"61","Kim Avenue",2079,"NSW","Australia",10,2258,5,3238.37,223,"Mid-Value"
"Ossie Meaton","M",40,223,13,"VP Sales","Manufacturing","Affluent Customer","Yes",14,"78","Surrey Place",2502,"NSW","Australia",7,2233,6,4082.09,233,"Mid-Value"
"Nettie Iddy","F",40,564,7,"Operator","Retail","High Net Worth","No",7,"19","Lakewood Gardens Way",2760,"NSW","Australia",9,2192,6,2143.39,432,"High-Value"
"Anselma Ricardon","F",40,666,82,"Social Worker","Health","High Net Worth","Yes",15,"25","Mesta Plaza",3975,"VIC","Australia",8,2222,5,2459.76,322,"Mid-Value"
"Fae","F",40,1320,4,"Sales Associate","Manufacturing","High Net Worth","Yes",7,"1988","Bartillon Terrace",4500,"QLD","Australia",3,2275,6,1835.18,132,"Low-Value"
"Roi Ogden","M",40,1031,75,"Junior Executive","Manufacturing","Mass Customer","No",6,"65634","Del Mar Crossing",4053,"QLD","Australia",7,2227,3,1463.88,211,"Low-Value"
"Gibby Fearnley","M",40,893,97,"Geologist I","IT","Mass Customer","No",16,"1","5th Parkway",2148,"NSW","Australia",8,2256,7,4868.87,234,"Mid-Value"
"Theodore Chicchelli","M",40,2032,98,"Quality Control Specialist","Property","Mass Customer","Yes",9,"63","Golf Crossing",2217,"NSW","Australia",8,2186,2,978.76,411,"High-Value"
"Shirline Yellowlee","F",40,2720,0,"Account Coordinator","Retail","High Net Worth","No",10,"831","Daystar Circle",2038,"NSW","Australia",12,2329,4,902.04,111,"Low-Value"
"Bradly Crosse","M",40,150,6,"Cost Accountant","Financial Services","Affluent Customer","No",17,"69914","Bowman Place",2330,"NSW","Australia",7,2256,4,2446.51,212,"Low-Value"
"Natal Matiewe","M",40,1054,27,"Nuclear Power Engineer","Manufacturing","Mass Customer","Yes",13,"10","Pennsylvania Hill",2118,"NSW","Australia",11,2186,8,3406.16,443,"High-Value"
"Venita Dymick","F",40,259,70,"Senior Developer","Health","High Net Worth","Yes",3,"8208","Parkside Point",2320,"NSW","Australia",6,2208,4,2124.65,312,"Mid-Value"
"Sisely Oppy","F",40,737,75,"Systems Administrator III","Retail","Mass Customer","No",16,"3","Talisman Place",4811,"QLD","Australia",2,2235,7,4480.09,234,"Mid-Value"
"Kristal Joysey","F",40,247,62,"Staff Accountant II","Financial Services","High Net Worth","Yes",13,"2","2nd Plaza",2283,"NSW","Australia",4,2293,7,4913.16,134,"Low-Value"
"Debee Martynov","F",40,335,20,"Senior Editor","Financial Services","Affluent Customer","No",8,"82","Mcbride Trail",3223,"VIC","Australia",6,2205,2,456.99,311,"Mid-Value"
"Cleve Jindrak","M",40,2464,78,"Speech Pathologist","Retail","Mass Customer","No",6,"3126","Butterfield Pass",2573,"NSW","Australia",8,2183,13,7817.1,444,"High-Value"
"Rayshell Kitteman","F",40,14,85,"Account Executive","Financial Services","Affluent Customer","No",6,"9","Mcbride Trail",2760,"NSW","Australia",8,2228,3,1713.9,211,"Low-Value"
"Iver Dobsons","M",40,308,2,"Database Administrator I","IT","High Net Worth","No",4,"5982","Mosinee Avenue",3340,"VIC","Australia",5,2206,6,4086.21,333,"Mid-Value"
"Indira Belt","F",40,43,38,"Director of Sales","Retail","Mass Customer","No",5,"60","Eagan Circle",4018,"QLD","Australia",8,2242,9,3619.95,243,"Mid-Value"
"Cullen Langshaw","M",40,1270,72,"Paralegal","Financial Services","Affluent Customer","No",10,"640","Toban Hill",4702,"QLD","Australia",6,2386,4,2113.08,112,"Low-Value"
"Anna-diana Slyne","F",40,2568,42,"Staff Scientist","Manufacturing","Mass Customer","No",18,"84","Brickson Park Park",3177,"VIC","Australia",5,2253,4,1232.95,211,"Low-Value"
"Prinz Codman","M",40,1655,38,"Electrical Engineer","Manufacturing","Affluent Customer","Yes",13,"22","Badeau Avenue",3161,"VIC","Australia",11,2197,3,1337.55,411,"High-Value"
"Leigha Ranger","F",40,2199,89,"Account Coordinator","Property","High Net Worth","Yes",13,"886","Rusk Pass",2321,"NSW","Australia",4,2205,4,2644.03,312,"Mid-Value"
"Lorianne Ethersey","F",40,2438,76,"Speech Pathologist","Manufacturing","Mass Customer","Yes",4,"99739","Coolidge Crossing",2760,"NSW","Australia",7,2208,7,3058.73,333,"Mid-Value"
"Dukey McCrie","M",40,1588,24,"Administrative Officer","IT","High Net Worth","Yes",7,"7032","Hallows Drive",2126,"NSW","Australia",11,2213,7,3628.26,333,"Mid-Value"
"Anthea Ruskin","F",40,252,39,"Account Coordinator","Property","Mass Customer","Yes",13,"8029","Gulseth Center",2304,"NSW","Australia",7,2243,5,2597.64,222,"Mid-Value"
"Loralyn","F",40,2061,71,"Technical Writer","Manufacturing","High Net Worth","No",4,"623","Melody Avenue",4500,"QLD","Australia",4,2313,6,3867.74,133,"Low-Value"
"Parker Lukacs","M",40,3021,4,"Analog Circuit Design manager","Manufacturing","Mass Customer","No",9,"7","Debra Point",3175,"VIC","Australia",4,2241,7,2943.78,233,"Mid-Value"
"Consolata Clacson","F",40,474,86,"Geologist IV","Entertainment","Affluent Customer","No",18,"91","Eagle Crest Circle",2567,"NSW","Australia",9,2278,2,1520.73,111,"Low-Value"
"Cord Braundt","M",40,1100,59,"Engineer I","Manufacturing","Mass Customer","No",15,"1063","Forest Avenue",4510,"QLD","Australia",3,2226,3,1051.23,311,"Mid-Value"
"Carolee Butters","F",41,643,48,"Assistant Media Planner","Entertainment","Mass Customer","Yes",10,"491","Merry Crossing",3011,"VIC","Australia",4,2378,4,2308.04,112,"Low-Value"
"Cybill Wakes","F",41,1921,70,"Accountant III","Retail","Mass Customer","No",17,"7230","Montana Place",2777,"NSW","Australia",9,2221,1,64.51,311,"Mid-Value"
"Theo Tolmie","F",41,511,92,"Dental Hygienist","Health","High Net Worth","No",10,"7","Hooker Place",2428,"NSW","Australia",3,2192,5,2782.88,422,"High-Value"
"Pavla Braunle","F",41,181,49,"Senior Editor","Manufacturing","Mass Customer","No",9,"8256","Annamark Court",3638,"VIC","Australia",1,2231,5,2365.24,222,"Mid-Value"
"Jessamine Brazear","F",41,2914,76,"Health Coach IV","Health","Affluent Customer","Yes",11,"3","Barnett Way",2763,"NSW","Australia",9,2193,12,6835.96,444,"High-Value"
"Clarence Silby","M",41,878,31,"Environmental Specialist","Manufacturing","Mass Customer","Yes",9,"1","Springview Place",4800,"QLD","Australia",5,2260,3,2809.75,213,"Low-Value"
"Jerome Sheavills","M",41,1885,18,"Software Consultant","Health","High Net Worth","Yes",11,"83148","Rowland Alley",2530,"NSW","Australia",8,2185,9,6979.28,444,"High-Value"
"Amity Widdall","F",41,3376,74,"Structural Engineer","Manufacturing","Mass Customer","No",16,"7","Charing Cross Hill",2121,"NSW","Australia",9,2274,5,2173.36,122,"Low-Value"
"Nollie Matteoli","M",41,1642,97,"Systems Administrator II","Manufacturing","Affluent Customer","Yes",3,"2","Ridgeway Circle",2090,"NSW","Australia",10,2265,5,2307.49,222,"Mid-Value"
"Nikita Kilby","M",41,775,66,"Accounting Assistant IV","Manufacturing","Affluent Customer","No",4,"99","Elka Street",4350,"QLD","Australia",4,2239,7,2862.33,233,"Mid-Value"
"Shellysheldon Wickey","M",41,1139,52,"Editor","Manufacturing","Mass Customer","Yes",16,"3","Holmberg Park",4127,"QLD","Australia",2,2250,4,1434.57,211,"Low-Value"
"Milton Gorini","M",41,3060,28,"VP Accounting","Financial Services","Mass Customer","Yes",6,"44","Northridge Plaza",2166,"NSW","Australia",8,2210,11,5684.73,344,"High-Value"
"Carl Eyre","M",41,1970,51,"Desktop Support Technician","Manufacturing","Mass Customer","No",7,"5","Onsgard Plaza",3134,"VIC","Australia",10,2181,8,3660.48,443,"High-Value"
"Fan Gaythwaite","F",41,2554,76,"Software Engineer III","Retail","High Net Worth","No",12,"8561","Alpine Center",2380,"NSW","Australia",3,2240,5,2883.96,223,"Mid-Value"
"Mariel Blacksell","F",41,3078,54,"Safety Technician III","Retail","Mass Customer","No",7,"9","Rieder Avenue",2798,"NSW","Australia",6,2350,3,1750.43,111,"Low-Value"
"Celisse McCloughen","F",41,2982,30,"Senior Cost Accountant","Financial Services","Mass Customer","Yes",11,"1","Graceland Trail",3195,"VIC","Australia",9,2298,7,6366.75,134,"Low-Value"
"Zackariah Catteroll","M",41,2623,42,"Media Manager III","Property","Mass Customer","Yes",15,"9837","Granby Alley",2445,"NSW","Australia",7,2191,4,3633.61,413,"High-Value"
"Mortimer Iremonger","M",41,2022,79,"VP Sales","IT","Affluent Customer","No",7,"5468","Moose Lane",2445,"NSW","Australia",7,2194,5,3955.17,423,"High-Value"
"Marcel Eddolls","M",41,3278,66,"VP Product Management","Financial Services","Affluent Customer","No",9,"31601","Birchwood Court",4105,"QLD","Australia",8,2203,5,3216.13,323,"Mid-Value"
"Oates Broadberrie","M",41,2449,54,"Tax Accountant","IT","Affluent Customer","No",8,"67","Crowley Drive",3216,"VIC","Australia",4,2257,5,3150.38,223,"Mid-Value"
"Caralie Morfett","F",41,989,43,"Project Manager","Financial Services","Mass Customer","No",17,"730","Butternut Trail",4018,"QLD","Australia",4,2206,4,3380.34,313,"Mid-Value"
"Rikki Eytel","F",41,1400,51,"Senior Developer","Manufacturing","Affluent Customer","Yes",7,"73506","Cordelia Lane",4217,"QLD","Australia",4,2237,7,4939.11,234,"Mid-Value"
"Cordy Readshall","F",41,2373,51,"Structural Engineer","Manufacturing","High Net Worth","Yes",16,"631","Fuller Parkway",3023,"VIC","Australia",7,2226,4,2381.74,312,"Mid-Value"
"Erhart Glazebrook","M",41,1255,5,"Clinical Specialist","Health","Affluent Customer","No",11,"8","Eggendart Court",2478,"NSW","Australia",9,2259,3,287.31,211,"Low-Value"
"Etta Criag","F",41,3008,40,"Food Chemist","Health","High Net Worth","Yes",17,"91","Jay Drive",2560,"NSW","Australia",7,2186,6,3216.01,433,"High-Value"
"Agosto Thon","M",41,2025,59,"VP Quality Control","Manufacturing","Mass Customer","Yes",3,"0","3rd Road",4060,"QLD","Australia",9,2319,4,2183.55,112,"Low-Value"
"Chryste Nornable","F",41,3351,13,"Accounting Assistant II","Manufacturing","Affluent Customer","No",15,"17","Springs Center",4214,"QLD","Australia",7,2220,6,3138.49,333,"Mid-Value"
"Dane Swansbury","M",41,3383,47,"Financial Analyst","Financial Services","Affluent Customer","Yes",10,"48","Rockefeller Court",3786,"VIC","Australia",8,2210,5,4177.32,324,"Mid-Value"
"Ansel Napier","M",41,2219,73,"Senior Quality Engineer","Health","High Net Worth","Yes",3,"79","Katie Alley",3216,"VIC","Australia",9,2242,5,3493.02,223,"Mid-Value"
"Nance Suttling","F",41,117,75,"Marketing Manager","Manufacturing","Mass Customer","No",15,"185","Pennsylvania Way",4226,"QLD","Australia",6,2186,10,6917.34,444,"High-Value"
"Carolina Brands","F",41,2139,87,"Accountant II","IT","Affluent Customer","Yes",7,"27","Mayer Lane",3756,"VIC","Australia",7,2241,5,5380.68,224,"Mid-Value"
"Erena Escalero","F",41,978,40,"Nurse Practicioner","IT","High Net Worth","No",15,"1","Boyd Junction",2460,"NSW","Australia",1,2373,5,2890.84,123,"Low-Value"
"Amaleta Dickens","F",41,1925,34,"VP Accounting","Financial Services","Mass Customer","Yes",7,"6","Upham Place",4556,"QLD","Australia",7,2186,7,2584.56,432,"High-Value"
"Marlie Lister","F",41,1218,12,"Electrical Engineer","Manufacturing","Mass Customer","Yes",7,"0","Evergreen Road",3037,"VIC","Australia",7,2231,6,4540.57,234,"Mid-Value"
"Loren Batkin","M",41,2424,17,"Internal Auditor","Health","Affluent Customer","Yes",15,"9","Northwestern Pass",4879,"QLD","Australia",6,2248,6,2446.2,232,"Mid-Value"
"Melania Ruske","F",42,1986,53,"Recruiter","Retail","Mass Customer","No",16,"366","International Way",2170,"NSW","Australia",8,2225,6,2436.69,332,"Mid-Value"
"Alberik Mereweather","M",42,115,77,"Account Executive","Health","Mass Customer","No",18,"8194","Sachtjen Drive",3844,"VIC","Australia",1,2195,8,3135.87,443,"High-Value"
"Conny Shearmer","M",42,533,40,"Database Administrator III","Retail","Mass Customer","No",11,"1038","Hayes Point",2021,"NSW","Australia",7,2183,6,5387.05,434,"High-Value"
"Wallache Tatlow","M",42,2922,34,"Sales Associate","Manufacturing","Affluent Customer","Yes",10,"2","Jackson Way",4210,"QLD","Australia",4,2182,5,3257.52,423,"High-Value"
"Tiphany Leppington","F",42,2070,0,"Recruiting Manager","Financial Services","Mass Customer","No",8,"7949","Waywood Way",2318,"NSW","Australia",7,2185,8,4731.2,444,"High-Value"
"Willey Chastanet","M",42,119,9,"Associate Professor","Manufacturing","High Net Worth","Yes",9,"5814","Bunker Hill Street",3070,"VIC","Australia",7,2211,4,4217.24,314,"Mid-Value"
"Vanya Gumb","F",42,198,82,"Assistant Media Planner","Entertainment","Mass Customer","No",16,"5484","Hagan Crossing",3021,"VIC","Australia",7,2239,9,6631.87,244,"Mid-Value"
"Rolando Amyes","M",42,1594,62,"Human Resources Manager","Property","Mass Customer","No",7,"0","Thackeray Avenue",2100,"NSW","Australia",10,2181,6,4320.3,434,"High-Value"
"Manolo Dwire","M",42,1163,77,"Cost Accountant","Financial Services","High Net Worth","Yes",8,"353","Oneill Park",3145,"VIC","Australia",9,2229,5,1775.01,221,"Low-Value"
"Tomasine Jerche","F",42,40,91,"Payment Adjustment Coordinator","Manufacturing","Affluent Customer","No",14,"3496","Brown Drive",2207,"NSW","Australia",8,2195,5,3272.7,423,"High-Value"
"Mallissa Gillespie","F",42,628,14,"Actuary","Financial Services","Mass Customer","No",13,"4744","Garrison Drive",4132,"QLD","Australia",4,2235,5,1313.86,221,"Low-Value"
"Neron Verick","M",42,44,63,"Assistant Media Planner","Entertainment","Affluent Customer","Yes",17,"89314","Eagle Crest Center",4670,"QLD","Australia",2,2216,7,4768.28,334,"Mid-Value"
"Kristofor Juris","M",42,2217,98,"Paralegal","Financial Services","Mass Customer","No",16,"47","Chinook Road",4421,"QLD","Australia",2,2203,7,3905.42,333,"Mid-Value"
"Buddy Morfell","M",42,2553,42,"Administrative Assistant I","Property","High Net Worth","Yes",13,"463","Atwood Court",4160,"QLD","Australia",7,2331,4,2686.12,112,"Low-Value"
